run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,17,22,27,40,34,46,61,54,7esque_test,81235,0.0001,1000,8,304.817581125,-1.1777777777777778,2.0,1.1777777777777778,0.35555555555555557,0.05116011145643551
2,17,28,22,56,32,41,49,62,7esque_test,81236,0.0001,1000,8,345.465366041,-1.3111111111111111,4.0,1.4,0.37777777777777777,0.05743669223494785
3,17,22,30,51,33,41,53,65,7esque_test,81237,0.0001,1000,8,351.517918334,-1.4222222222222223,2.0,1.4222222222222223,0.4444444444444444,0.055805417700578897
4,17,25,28,39,34,53,45,61,7esque_test,81238,0.0001,1000,8,337.814004167,-1.2,2.0,1.2,0.35555555555555557,0.03925443281350138
5,17,42,48,24,34,67,28,55,7esque_test,81239,0.0001,1000,8,361.82073425,-1.488888888888889,8.0,1.8888888888888888,0.4888888888888889,0.05802611367127497
6,17,56,21,27,50,35,62,39,7esque_test,81240,0.0001,1000,8,296.01918125,-1.3111111111111111,7.0,1.6222222222222222,0.37777777777777777,0.05987968897761897
7,17,23,28,41,55,35,45,58,7esque_test,81241,0.0001,1000,8,317.31740175,-1.2,3.0,1.2444444444444445,0.28888888888888886,0.03925443281350138
8,17,22,27,55,34,39,49,64,7esque_test,81242,0.0001,1000,8,324.789709875,-1.3111111111111111,3.0,1.3111111111111111,0.4222222222222222,0.060694021225175865
9,17,23,32,51,38,61,56,41,7esque_test,81243,0.0001,1000,8,348.246466334,-1.5777777777777777,4.0,1.6666666666666667,0.35555555555555557,0.03950096066336317
10,17,23,28,34,44,52,61,49,7esque_test,81244,0.0001,1000,8,330.65320525,-1.3333333333333333,2.0,1.3333333333333333,0.35555555555555557,0.04411918726434849
11,17,23,52,29,45,34,62,41,7esque_test,81245,0.0001,1000,8,314.228273209,-1.2222222222222223,6.0,1.3777777777777778,0.37777777777777777,0.04310390716490997
12,17,25,52,46,30,65,40,36,7esque_test,81246,0.0001,1000,8,341.622008625,-1.4,8.0,1.6888888888888889,0.4444444444444444,0.04085416450575652
13,17,22,28,42,46,33,63,55,7esque_test,81247,0.0001,1000,8,334.358903625,-1.288888888888889,3.0,1.3777777777777778,0.4,0.055318363904701684
14,17,24,44,31,69,39,51,57,7esque_test,81248,0.0001,1000,8,322.860447042,-1.8666666666666667,5.0,1.8666666666666667,0.5333333333333333,0.054289739603575526
15,17,34,22,27,41,43,63,52,7esque_test,81249,0.0001,1000,8,259.931634625,-1.1333333333333333,3.0,1.2444444444444445,0.4,0.05096288704283092
16,17,27,21,43,49,35,63,54,7esque_test,81250,0.0001,1000,8,278.810049208,-1.3555555555555556,4.0,1.488888888888889,0.4,0.057586908863138
17,17,36,30,25,66,52,59,45,7esque_test,81251,0.0001,1000,8,326.493720666,-1.8222222222222222,5.0,1.9111111111111112,0.4666666666666667,0.05337243401759517
18,17,22,44,30,50,65,54,33,7esque_test,81252,0.0001,1000,8,301.165013083,-1.488888888888889,5.0,1.7555555555555555,0.4444444444444444,0.0556451612903226
19,17,23,36,30,56,43,50,63,7esque_test,81253,0.0001,1000,8,309.6055525,-1.5555555555555556,3.0,1.5555555555555556,0.4,0.04841245688780682
20,17,25,37,66,28,49,46,56,7esque_test,81254,0.0001,1000,8,309.259358167,-1.6888888888888889,5.0,1.8,0.4666666666666667,0.05055256869772995
21,17,22,63,31,52,39,43,60,7esque_test,81255,0.0001,1000,8,311.900508292,-1.7555555555555555,6.0,1.7555555555555555,0.4,0.051975436519680285
22,17,22,32,38,27,43,52,56,7esque_test,81256,0.0001,1000,8,258.077307667,-0.8666666666666667,2.0,1.0,0.24444444444444444,0.03839777453074067
23,17,22,27,36,46,30,49,60,7esque_test,81257,0.0001,1000,8,253.452808125,-0.8666666666666667,2.0,1.0222222222222221,0.3333333333333333,0.04797965606384169
24,17,27,22,32,37,47,52,63,7esque_test,81258,0.0001,1000,8,281.998383667,-1.0888888888888888,1.0,1.1555555555555554,0.4,0.0566552623004235
25,17,24,29,34,40,59,50,67,7esque_test,81259,0.0001,1000,8,275.459268292,-1.6,1.0,1.6,0.4888888888888889,0.06267641129032242
26,17,38,22,30,56,43,63,48,7esque_test,81260,0.0001,1000,8,294.328080458,-1.5333333333333334,5.0,1.6,0.4,0.04791645466571692
27,17,36,23,29,47,53,47,66,7esque_test,81261,0.0001,1000,8,292.216938625,-1.5555555555555556,3.0,1.6,0.4666666666666667,0.04998478393183192
28,17,21,41,27,35,48,63,51,7esque_test,81262,0.0001,1000,8,279.952616,-1.2222222222222223,3.0,1.2666666666666666,0.4,0.05382997977217063
29,19,24,30,63,54,36,49,44,7esque_test,81263,0.0001,1000,8,304.4677395,-1.5777777777777777,6.0,1.6222222222222222,0.35555555555555557,0.03558246536555765
30,17,24,39,30,34,46,50,65,7esque_test,81264,0.0001,1000,8,277.791290208,-1.2666666666666666,2.0,1.2666666666666666,0.4444444444444444,0.043350079323109414
31,17,33,48,25,37,50,59,63,7esque_test,81265,0.0001,1000,8,318.88397675,-1.8666666666666667,3.0,1.9555555555555555,0.4,0.03922949863972014
32,17,24,30,35,55,41,51,62,7esque_test,81266,0.0001,1000,8,295.311964542,-1.488888888888889,2.0,1.488888888888889,0.37777777777777777,0.044534050179211304
33,17,23,27,46,34,65,53,44,7esque_test,81267,0.0001,1000,8,292.905630417,-1.3555555555555556,4.0,1.3777777777777778,0.4444444444444444,0.05435066290844559
34,17,23,30,52,57,35,41,46,7esque_test,81268,0.0001,1000,8,279.801894,-1.1777777777777778,6.0,1.2222222222222223,0.26666666666666666,0.029565427071053474
35,17,23,30,40,43,61,50,55,7esque_test,81269,0.0001,1000,8,272.708228875,-1.5777777777777777,2.0,1.5777777777777777,0.35555555555555557,0.03871726160380207
36,17,21,30,33,41,47,64,54,7esque_test,81270,0.0001,1000,8,266.213495667,-1.3111111111111111,1.0,1.3111111111111111,0.4222222222222222,0.05580802773983384
37,17,22,34,28,45,46,60,51,7esque_test,81271,0.0001,1000,8,260.0553695,-1.2222222222222223,2.0,1.2444444444444445,0.3333333333333333,0.041453742148408246
38,17,27,23,31,42,50,51,61,7esque_test,81272,0.0001,1000,8,274.342673292,-1.2,1.0,1.2444444444444445,0.35555555555555557,0.04918820764793841
39,17,36,47,25,29,54,42,65,7esque_test,81273,0.0001,1000,8,294.504597459,-1.488888888888889,6.0,1.6666666666666667,0.4444444444444444,0.045327700972862095
40,18,24,26,37,34,42,50,58,7esque_test,81274,0.0001,1000,8,241.124217833,-0.9111111111111111,1.0,0.9111111111111111,0.26666666666666666,0.030039624958142497
41,17,45,31,29,33,60,38,51,7esque_test,81275,0.0001,1000,8,269.557756666,-1.2444444444444445,6.0,1.3111111111111111,0.3333333333333333,0.018967529711375164
