run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,38,15,23,35,48,36,31,24,maybe_5,121235,0.0001,1000,8,281.668610167,0.7931034482758621,10.0,0.5344827586206896,-0.15517241379310345,-0.0398378378378379
2,38,15,22,35,44,36,33,26,maybe_5,121236,0.0001,1000,8,252.526984292,0.8103448275862069,10.0,0.46551724137931033,-0.22413793103448276,-0.054705307717356044
3,36,15,22,47,35,33,31,22,maybe_5,121237,0.0001,1000,8,257.453083542,0.9482758620689655,11.0,0.5689655172413793,-0.1724137931034483,-0.03908265111584619
4,36,15,22,36,40,52,29,27,maybe_5,121238,0.0001,1000,8,240.176416459,0.6724137931034483,10.0,0.4827586206896552,-0.08620689655172414,-0.02655379114523093
5,36,15,22,36,50,37,27,24,maybe_5,121239,0.0001,1000,8,247.460576625,0.8448275862068966,10.0,0.5517241379310345,-0.1206896551724138,-0.028121238647554447
6,36,15,22,33,45,38,33,26,maybe_5,121240,0.0001,1000,8,167.331442291,0.8275862068965517,9.0,0.43103448275862066,-0.20689655172413793,-0.0515475152571927
7,34,16,36,23,50,42,30,24,maybe_5,121241,0.0001,1000,8,262.674330666,0.7068965517241379,11.0,0.6206896551724138,-0.13793103448275862,-0.029994700582935963
8,34,15,23,32,47,38,27,24,maybe_5,121242,0.0001,1000,8,247.504940875,0.9655172413793104,10.0,0.43103448275862066,-0.1724137931034483,-0.0388795045045045
9,39,15,47,23,34,36,31,22,maybe_5,121243,0.0001,1000,8,285.205464208,0.8448275862068966,11.0,0.7241379310344828,-0.1724137931034483,-0.03520625889046958
10,38,15,22,38,34,47,31,22,maybe_5,121244,0.0001,1000,8,230.722399125,0.8448275862068966,10.0,0.46551724137931033,-0.1724137931034483,-0.033181967392493794
11,39,15,33,23,46,40,27,24,maybe_5,121245,0.0001,1000,8,260.530165625,0.8448275862068966,11.0,0.5862068965517241,-0.1896551724137931,-0.034194113141481575
12,36,15,23,34,47,36,30,23,maybe_5,121246,0.0001,1000,8,181.844039917,0.896551724137931,10.0,0.46551724137931033,-0.1724137931034483,-0.04275587062472308
13,38,15,22,33,37,46,30,22,maybe_5,121247,0.0001,1000,8,214.343858334,0.9137931034482759,10.0,0.3793103448275862,-0.1896551724137931,-0.03536870203536879
14,40,15,23,36,38,46,33,26,maybe_5,121248,0.0001,1000,8,222.248002625,0.6724137931034483,10.0,0.4482758620689655,-0.1896551724137931,-0.046981806709433194
15,36,15,23,34,32,45,30,24,maybe_5,121249,0.0001,1000,8,168.714291542,0.9827586206896551,10.0,0.3448275862068966,-0.20689655172413793,-0.05227298428135252
16,36,15,22,47,34,34,31,22,maybe_5,121250,0.0001,1000,8,254.257234291,0.9482758620689655,10.0,0.5689655172413793,-0.1724137931034483,-0.040119995514186435
17,40,15,22,49,35,33,31,22,maybe_5,121251,0.0001,1000,8,250.801078416,0.8448275862068966,11.0,0.6724137931034483,-0.13793103448275862,-0.026096947149578886
