run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,30,55,79,158,109,182,208,129,new_maybe_5,181235,0.0001,1000,8,1489.443508875,-3.830188679245283,6.0,3.8679245283018866,0.9716981132075472,0.05797020123839003
2,30,79,53,324,146,169,238,211,new_maybe_5,181236,0.0001,1000,8,2026.553647125,-6.660377358490566,7.0,6.735849056603773,2.0660377358490565,0.1168544117647059
3,68,92,259,151,141,236,213,287,new_maybe_5,181237,0.0001,1000,8,2226.3584475,-8.518867924528301,7.0,8.518867924528301,1.3584905660377358,0.011191384812390792
4,67,44,89,112,158,182,134,202,new_maybe_5,181238,0.0001,1000,8,1406.232784916,-4.188679245283019,4.0,4.188679245283019,0.7830188679245284,0.0183042093355561
5,54,248,43,104,218,308,77,276,new_maybe_5,181239,0.0001,1000,8,1834.695196167,-7.39622641509434,9.0,7.80188679245283,1.7924528301886793,0.11475682140326016
6,30,54,104,213,82,155,183,127,new_maybe_5,181240,0.0001,1000,8,1314.617431875,-3.811320754716981,7.0,3.849056603773585,1.0188679245283019,0.06251939066765932
7,30,53,160,77,134,216,239,99,new_maybe_5,181241,0.0001,1000,8,1394.679199125,-4.377358490566038,5.0,4.452830188679245,1.2641509433962264,0.0943627450980391
8,30,53,78,180,98,121,219,154,new_maybe_5,181242,0.0001,1000,8,1295.76952125,-3.669811320754717,5.0,3.707547169811321,1.0754716981132075,0.07260832387617433
9,30,88,77,216,181,137,112,192,new_maybe_5,181243,0.0001,1000,8,1233.065557166,-4.613207547169812,7.0,4.650943396226415,1.0471698113207548,0.040570191048345805
10,30,55,77,182,111,210,133,158,new_maybe_5,181244,0.0001,1000,8,1064.714140709,-3.8867924528301887,8.0,3.9245283018867925,0.9905660377358491,0.059081190007383766
11,32,50,211,103,188,127,72,151,new_maybe_5,181245,0.0001,1000,8,945.01093425,-3.6792452830188678,7.0,4.018867924528302,0.9811320754716981,0.07162229185035884
12,30,88,212,66,236,120,146,258,new_maybe_5,181246,0.0001,1000,8,1170.02993775,-5.773584905660377,6.0,5.811320754716981,1.4433962264150944,0.08418036332179923
13,52,42,200,147,75,169,123,99,new_maybe_5,181247,0.0001,1000,8,853.934498208,-3.4245283018867925,9.0,3.518867924528302,0.7830188679245284,0.042778998313768746
14,35,68,78,204,149,105,124,178,new_maybe_5,181248,0.0001,1000,8,912.914071916,-3.7452830188679247,6.0,3.7452830188679247,0.8867924528301887,0.03767991654685243
15,32,83,155,107,59,217,186,129,new_maybe_5,181249,0.0001,1000,8,984.852278458,-4.0,8.0,4.226415094339623,1.0377358490566038,0.05661308945065624
16,30,54,170,80,448,103,145,411,new_maybe_5,181250,0.0001,1000,8,1063.259927541,-8.462264150943396,5.0,8.5,3.2358490566037736,0.21237613279177037
17,37,57,127,195,79,104,222,165,new_maybe_5,181251,0.0001,1000,8,852.921546292,-4.169811320754717,6.0,4.188679245283019,1.0377358490566038,0.06392621703853951
18,67,118,224,61,200,144,172,90,new_maybe_5,181252,0.0001,1000,8,922.266649542,-5.018867924528302,8.0,5.1415094339622645,0.8301886792452831,0.018057757489612802
19,30,53,100,123,172,146,75,203,new_maybe_5,181253,0.0001,1000,8,756.89640375,-3.3773584905660377,6.0,3.707547169811321,0.9245283018867925,0.05963667340550405
20,30,77,104,54,231,206,257,183,new_maybe_5,181254,0.0001,1000,8,957.281120375,-5.6415094339622645,4.0,5.679245283018868,1.4339622641509433,0.09845826465437302
21,61,51,154,176,127,83,104,211,new_maybe_5,181255,0.0001,1000,8,823.572332167,-3.990566037735849,7.0,4.009433962264151,0.8018867924528302,0.026266614453433812
22,32,97,50,74,243,163,274,297,new_maybe_5,181256,0.0001,1000,8,1020.627602792,-6.471698113207547,4.0,6.556603773584905,1.7924528301886793,0.13722351745576278
