run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,10,15,20,23,17,11,21,12,no_line_2_test,21235,0.0001,1000,8,312.622375083,2.261904761904762,9.0,0.0,-0.35714285714285715,-0.025678294573643345
2,10,15,22,17,17,10,21,12,no_line_2_test,21236,0.0001,1000,8,255.320065833,2.380952380952381,9.0,0.0,-0.38095238095238093,-0.030241935483870996
3,10,15,17,27,17,10,19,12,no_line_2_test,21237,0.0001,1000,8,343.097773625,2.3095238095238093,9.0,0.023809523809523808,-0.2619047619047619,-0.009350393700787496
4,10,15,22,18,21,10,21,12,no_line_2_test,21238,0.0001,1000,8,310.517077,2.261904761904762,9.0,0.0,-0.38095238095238093,-0.02374031007751931
5,10,15,20,26,17,10,21,12,no_line_2_test,21239,0.0001,1000,8,329.624890542,2.2142857142857144,9.0,0.0,-0.2857142857142857,-0.0033396946564885344
6,11,20,14,21,21,10,19,12,no_line_2_test,21240,0.0001,1000,8,306.025524875,2.2857142857142856,12.0,0.047619047619047616,-0.40476190476190477,-0.03515625
7,10,15,22,20,18,10,23,12,no_line_2_test,21241,0.0001,1000,8,274.267900375,2.238095238095238,9.0,0.0,-0.35714285714285715,-0.016346153846153788
8,10,15,22,17,16,10,19,12,no_line_2_test,21242,0.0001,1000,8,236.985174166,2.4523809523809526,9.0,0.0,-0.38095238095238093,-0.037706611570248016
9,11,15,22,18,15,10,21,12,no_line_2_test,21243,0.0001,1000,8,322.343689167,2.380952380952381,10.0,0.0,-0.38095238095238093,-0.03427419354838701
10,10,15,18,18,20,10,21,12,no_line_2_test,21244,0.0001,1000,8,216.657601375,2.380952380952381,9.0,0.0,-0.40476190476190477,-0.03830645161290325
11,10,15,18,32,21,10,17,12,no_line_2_test,21245,0.0001,1000,8,340.553008417,2.119047619047619,11.0,0.14285714285714285,-0.14285714285714285,0.024537037037037024
12,10,15,22,17,16,10,21,12,no_line_2_test,21246,0.0001,1000,8,197.50018575,2.4047619047619047,9.0,0.0,-0.38095238095238093,-0.029979674796748013
13,10,15,18,23,18,10,19,12,no_line_2_test,21247,0.0001,1000,8,216.297212083,2.357142857142857,9.0,0.0,-0.35714285714285715,-0.03049999999999997
14,10,15,18,23,18,10,21,12,no_line_2_test,21248,0.0001,1000,8,194.246859416,2.3095238095238093,9.0,0.0,-0.35714285714285715,-0.02312992125984259
15,11,15,22,19,17,10,19,12,no_line_2_test,21249,0.0001,1000,8,183.112312083,2.357142857142857,10.0,0.0,-0.38095238095238093,-0.04049999999999998
16,11,15,14,29,20,10,19,12,no_line_2_test,21250,0.0001,1000,8,298.477531625,2.238095238095238,11.0,0.07142857142857142,-0.21428571428571427,0.004807692307692291
17,10,15,19,26,19,10,19,12,no_line_2_test,21251,0.0001,1000,8,243.75812075,2.238095238095238,9.0,0.0,-0.2857142857142857,-0.012499999999999956
18,10,15,20,23,15,11,23,12,no_line_2_test,21252,0.0001,1000,8,146.464221375,2.261904761904762,9.0,0.0,-0.35714285714285715,-0.017926356589147208
19,10,15,22,19,17,10,19,12,no_line_2_test,21253,0.0001,1000,8,217.566822417,2.380952380952381,9.0,0.0,-0.38095238095238093,-0.03427419354838701
20,11,15,26,19,17,10,21,12,no_line_2_test,21254,0.0001,1000,8,298.610658292,2.2142857142857144,10.0,0.09523809523809523,-0.2857142857142857,-0.0109732824427482
21,11,15,22,18,16,10,19,12,no_line_2_test,21255,0.0001,1000,8,179.857865709,2.4047619047619047,10.0,0.0,-0.38095238095238093,-0.042174796747967536
22,10,15,19,25,18,10,19,12,no_line_2_test,21256,0.0001,1000,8,157.871521459,2.2857142857142856,9.0,0.0,-0.30952380952380953,-0.017578125
23,10,15,17,25,18,10,21,12,no_line_2_test,21257,0.0001,1000,8,255.123021041,2.2857142857142856,9.0,0.0,-0.30952380952380953,-0.01171875
24,10,15,22,18,17,11,19,12,no_line_2_test,21258,0.0001,1000,8,198.973292833,2.380952380952381,9.0,0.0,-0.38095238095238093,-0.04233870967741926
25,10,15,20,23,17,10,19,12,no_line_2_test,21259,0.0001,1000,8,169.251317958,2.3333333333333335,10.0,0.0,-0.35714285714285715,-0.024801587301587213
26,10,15,19,23,16,10,19,12,no_line_2_test,21260,0.0001,1000,8,83.733131959,2.380952380952381,9.0,0.0,-0.35714285714285715,-0.02822580645161299
27,10,15,18,28,16,10,21,12,no_line_2_test,21261,0.0001,1000,8,254.280282334,2.238095238095238,9.0,0.047619047619047616,-0.23809523809523808,0.004807692307692291
28,10,16,22,20,16,10,19,12,no_line_2_test,21262,0.0001,1000,8,153.735816875,2.357142857142857,10.0,0.0,-0.38095238095238093,-0.03249999999999997
29,10,15,18,22,16,10,19,12,no_line_2_test,21263,0.0001,1000,8,139.496710875,2.4285714285714284,9.0,0.0,-0.38095238095238093,-0.03586065573770503
30,10,15,18,27,16,10,17,12,no_line_2_test,21264,0.0001,1000,8,190.442715334,2.357142857142857,10.0,0.023809523809523808,-0.2619047619047619,-0.012499999999999956
31,10,15,18,28,18,10,21,12,no_line_2_test,21265,0.0001,1000,8,277.0073,2.1904761904761907,9.0,0.047619047619047616,-0.23809523809523808,0.0037878787878788955
32,11,15,15,21,23,10,17,12,no_line_2_test,21266,0.0001,1000,8,213.097205375,2.380952380952381,11.0,0.0,-0.35714285714285715,-0.030241935483870996
33,10,15,24,18,21,10,21,12,no_line_2_test,21267,0.0001,1000,8,287.260135667,2.2142857142857144,9.0,0.047619047619047616,-0.3333333333333333,-0.01288167938931295
34,10,15,26,17,17,11,19,12,no_line_2_test,21268,0.0001,1000,8,216.056616083,2.3095238095238093,9.0,0.09523809523809523,-0.2857142857142857,-0.02116141732283472
35,10,15,22,18,17,10,21,12,no_line_2_test,21269,0.0001,1000,8,107.591046333,2.357142857142857,9.0,0.0,-0.38095238095238093,-0.02849999999999997
36,10,15,22,17,16,10,19,12,no_line_2_test,21270,0.0001,1000,8,158.034945166,2.4523809523809526,9.0,0.0,-0.38095238095238093,-0.037706611570248016
37,11,15,17,21,18,10,19,12,no_line_2_test,21271,0.0001,1000,8,202.836863375,2.4047619047619047,10.0,0.0,-0.40476190476190477,-0.0482723577235773
38,10,15,16,21,18,10,19,12,no_line_2_test,21272,0.0001,1000,8,223.911627917,2.4523809523809526,9.0,0.0,-0.40476190476190477,-0.04183884297520657
39,12,15,16,25,16,10,21,12,no_line_2_test,21273,0.0001,1000,8,172.836949333,2.3095238095238093,10.0,0.0,-0.30952380952380953,-0.02706692913385833
40,11,15,20,29,17,10,22,12,no_line_2_test,21274,0.0001,1000,8,179.194319208,2.0952380952380953,10.0,0.07142857142857142,-0.21428571428571427,0.009191176470588314
41,10,15,19,24,17,10,19,12,no_line_2_test,21275,0.0001,1000,8,148.819598625,2.3333333333333335,9.0,0.0,-0.3333333333333333,-0.022817460317460236
42,10,15,19,20,16,10,22,12,no_line_2_test,21276,0.0001,1000,8,162.413644583,2.380952380952381,9.0,0.0,-0.38095238095238093,-0.030241935483870996
43,11,15,17,26,19,10,21,12,no_line_2_test,21277,0.0001,1000,8,206.606020917,2.2142857142857144,10.0,0.0,-0.2857142857142857,-0.0109732824427482
44,10,15,20,17,17,10,21,12,no_line_2_test,21278,0.0001,1000,8,185.483829792,2.4285714285714284,9.0,0.0,-0.40476190476190477,-0.03995901639344268
45,10,15,20,19,19,10,21,12,no_line_2_test,21279,0.0001,1000,8,138.260316125,2.3333333333333335,9.0,0.0,-0.40476190476190477,-0.0367063492063493
46,10,15,22,17,19,10,21,12,no_line_2_test,21280,0.0001,1000,8,145.378198041,2.3333333333333335,9.0,0.0,-0.38095238095238093,-0.02678571428571419
47,12,15,20,19,16,10,21,12,no_line_2_test,21281,0.0001,1000,8,143.791665917,2.357142857142857,10.0,0.0,-0.40476190476190477,-0.04849999999999999
48,10,15,19,17,23,10,19,12,no_line_2_test,21282,0.0001,1000,8,131.978087292,2.357142857142857,9.0,0.0,-0.35714285714285715,-0.02849999999999997
49,10,15,17,22,16,10,19,12,no_line_2_test,21283,0.0001,1000,8,208.18618525,2.4523809523809526,9.0,0.0,-0.38095238095238093,-0.037706611570248016
50,11,15,24,18,23,10,19,12,no_line_2_test,21284,0.0001,1000,8,138.4135905,2.1904761904761907,11.0,0.047619047619047616,-0.3333333333333333,-0.015151515151515138
