run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,20,19,23,17,16,16,23,18,no_line_B,211235,0.0001,1000,8,883.570872209,2.260869565217391,13.0,0.043478260869565216,-0.45652173913043476,-0.08675986842105265
2,20,27,19,17,16,16,19,19,no_line_B,211236,0.0001,1000,8,919.083309708,2.239130434782609,13.0,0.15217391304347827,-0.3695652173913043,-0.07991217320261446
3,20,21,20,17,16,16,28,18,no_line_B,211237,0.0001,1000,8,763.119347542,2.1739130434782608,13.0,0.043478260869565216,-0.34782608695652173,-0.06790865384615374
4,20,26,24,17,16,16,18,18,no_line_B,211238,0.0001,1000,8,625.308494083,2.1956521739130435,15.0,0.13043478260869565,-0.391304347826087,-0.06809475806451615
5,18,20,16,22,16,16,21,18,no_line_B,211239,0.0001,1000,8,543.774921416,2.369565217391304,11.0,0.0,-0.4782608695652174,-0.09688562925170063
6,21,19,16,19,16,16,28,18,no_line_B,211240,0.0001,1000,8,664.742627,2.239130434782609,12.0,0.06521739130434782,-0.34782608695652173,-0.06684027777777768
7,18,23,17,19,16,16,22,18,no_line_B,211241,0.0001,1000,8,669.608131417,2.3260869565217392,11.0,0.021739130434782608,-0.45652173913043476,-0.09275377516778516
8,19,21,16,21,16,16,32,18,no_line_B,211242,0.0001,1000,8,730.333534209,2.108695652173913,12.0,0.021739130434782608,-0.2608695652173913,-0.043779481132075526
9,20,24,20,17,16,16,22,18,no_line_B,211243,0.0001,1000,8,514.496565334,2.239130434782609,13.0,0.08695652173913043,-0.43478260869565216,-0.08481413398692816
10,18,30,16,19,16,16,19,18,no_line_B,211244,0.0001,1000,8,604.330590541,2.260869565217391,11.0,0.17391304347826086,-0.30434782608695654,-0.06373355263157898
11,20,21,16,27,16,16,20,18,no_line_B,211245,0.0001,1000,8,544.455246333,2.217391304347826,13.0,0.043478260869565216,-0.3695652173913043,-0.0699066558441559
