run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,22,26,14,25,15,18,24,22,no_line_C,221235,0.0001,1000,8,437.114269042,2.44,12.0,0.0,-0.32,-0.031375502008031964
2,22,25,14,16,23,18,28,20,no_line_C,221236,0.0001,1000,8,478.800008417,2.44,11.0,0.0,-0.28,-0.025351405622489942
3,22,28,14,17,15,17,25,18,no_line_C,221237,0.0001,1000,8,358.807479666,2.64,11.0,0.04,-0.28,-0.014423076923076872
4,22,25,14,16,15,19,27,22,no_line_C,221238,0.0001,1000,8,249.500199458,2.56,10.0,0.0,-0.3,-0.019270833333333348
5,22,25,14,16,15,19,19,22,no_line_C,221239,0.0001,1000,8,351.929726333,2.72,11.0,0.0,-0.34,-0.038925438596491224
6,22,25,14,16,15,20,28,22,no_line_C,221240,0.0001,1000,8,333.370505,2.52,10.0,0.0,-0.28,-0.01620370370370372
7,23,25,14,16,20,17,19,21,no_line_C,221241,0.0001,1000,8,321.096360125,2.66,12.0,0.02,-0.34,-0.04502688172043001
8,22,25,14,16,15,18,20,22,no_line_C,221242,0.0001,1000,8,317.6354125,2.72,11.0,0.0,-0.34,-0.037280701754385914
9,22,24,14,27,15,17,21,23,no_line_C,221243,0.0001,1000,8,324.595225375,2.5,13.0,0.0,-0.3,-0.026968302658486598
10,22,26,14,17,24,19,26,20,no_line_C,221244,0.0001,1000,8,233.185707875,2.4,11.0,0.0,-0.32,-0.03720238095238093
11,22,29,14,16,15,23,26,20,no_line_C,221245,0.0001,1000,8,382.704920833,2.46,10.0,0.06,-0.26,-0.007196969696969591
12,22,27,14,16,15,18,22,27,no_line_C,221246,0.0001,1000,8,346.674843625,2.54,9.0,0.02,-0.3,-0.011516563146997782
13,22,26,14,16,20,17,22,22,no_line_C,221247,0.0001,1000,8,415.566649417,2.58,10.0,0.0,-0.32,-0.04284591194968557
14,22,25,14,16,23,17,22,27,no_line_C,221248,0.0001,1000,8,377.049625625,2.44,9.0,0.0,-0.3,-0.029869477911646403
15,22,21,14,17,27,17,28,23,no_line_C,221249,0.0001,1000,8,345.260058959,2.38,9.0,0.0,-0.28,-0.022312623274161725
16,22,29,14,16,15,20,27,25,no_line_C,221250,0.0001,1000,8,400.69701625,2.4,10.0,0.06,-0.26,-0.0014880952380951218
17,22,22,14,17,15,19,25,25,no_line_C,221251,0.0001,1000,8,254.840424042,2.58,8.0,0.0,-0.34,-0.03183962264150941
18,22,24,14,16,15,19,25,20,no_line_C,221252,0.0001,1000,8,222.306561875,2.66,11.0,0.0,-0.34,-0.032123655913978366
19,22,25,14,16,15,33,20,21,no_line_C,221253,0.0001,1000,8,114.300852333,2.44,12.0,0.0,-0.18,0.006275100401606393
20,22,28,14,34,15,20,25,20,no_line_C,221254,0.0001,1000,8,313.359070333,2.2,13.0,0.04,-0.16,0.010065543071161143
21,22,26,14,16,15,18,23,22,no_line_C,221255,0.0001,1000,8,162.210778792,2.64,10.0,0.0,-0.32,-0.028846153846153744
22,23,22,14,16,15,18,29,20,no_line_C,221256,0.0001,1000,8,286.626709541,2.62,11.0,0.02,-0.26,-0.014463906581740904
23,22,30,14,16,15,20,22,25,no_line_C,221257,0.0001,1000,8,315.741668666,2.48,10.0,0.08,-0.24,-0.007113821138211351
24,22,22,14,28,15,18,26,21,no_line_C,221258,0.0001,1000,8,285.675192792,2.44,12.0,0.0,-0.28,-0.02083333333333326
25,22,27,14,28,15,18,20,20,no_line_C,221259,0.0001,1000,8,202.894157458,2.48,14.0,0.02,-0.28,-0.016260162601625883
26,22,22,14,18,15,19,25,22,no_line_C,221260,0.0001,1000,8,202.789041792,2.62,9.0,0.0,-0.34,-0.044718683651804536
27,22,23,14,17,15,29,26,27,no_line_C,221261,0.0001,1000,8,205.002853667,2.3,8.0,0.0,-0.26,-0.006382466281310117
28,22,26,14,16,25,17,19,21,no_line_C,221262,0.0001,1000,8,298.684746917,2.56,13.0,0.0,-0.32,-0.031770833333333304
29,22,26,14,16,15,18,29,22,no_line_C,221263,0.0001,1000,8,258.350765542,2.52,10.0,0.0,-0.26,-0.005401234567901092
30,22,29,14,17,15,21,21,25,no_line_C,221264,0.0001,1000,8,230.377157667,2.48,11.0,0.06,-0.26,-0.016260162601625883
31,22,26,14,16,15,18,23,23,no_line_C,221265,0.0001,1000,8,340.508281875,2.62,10.0,0.0,-0.32,-0.027202760084925615
32,22,27,14,30,15,18,20,24,no_line_C,221266,0.0001,1000,8,385.189268792,2.36,13.0,0.02,-0.24,-0.004656862745098023
33,22,25,14,16,15,18,21,20,no_line_C,221267,0.0001,1000,8,270.209371291,2.74,12.0,0.0,-0.34,-0.03904525386313451
34,22,31,14,18,15,19,19,22,no_line_C,221268,0.0001,1000,8,293.150730042,2.56,11.0,0.1,-0.22,-0.016145833333333304
35,22,24,14,17,15,17,23,19,no_line_C,221269,0.0001,1000,8,170.889189,2.74,11.0,0.0,-0.36,-0.04070088300220753
36,22,25,14,17,15,18,25,20,no_line_C,221270,0.0001,1000,8,179.051765291,2.64,11.0,0.0,-0.34,-0.03044871794871784
37,22,26,14,17,15,18,22,22,no_line_C,221271,0.0001,1000,8,351.242143041,2.64,10.0,0.0,-0.32,-0.03525641025641013
38,22,22,14,16,19,17,25,23,no_line_C,221272,0.0001,1000,8,303.138063458,2.6,9.0,0.0,-0.34,-0.04298523206751037
39,22,27,14,16,15,20,21,21,no_line_C,221273,0.0001,1000,8,174.203340834,2.64,12.0,0.02,-0.3,-0.03205128205128194
40,22,24,14,20,15,18,27,21,no_line_C,221274,0.0001,1000,8,255.941709541,2.54,11.0,0.0,-0.3,-0.030150103519668736
41,22,29,14,17,15,17,26,20,no_line_C,221275,0.0001,1000,8,293.18935825,2.56,11.0,0.06,-0.26,-0.0067708333333331705
42,22,30,14,17,15,17,20,24,no_line_C,221276,0.0001,1000,8,301.70004775,2.58,11.0,0.08,-0.24,-0.008254716981132004
43,22,25,14,16,20,17,21,27,no_line_C,221277,0.0001,1000,8,283.6380195,2.52,10.0,0.0,-0.3,-0.028549382716049232
44,22,25,14,16,15,27,18,24,no_line_C,221278,0.0001,1000,8,274.737551459,2.54,11.0,0.0,-0.3,-0.014622153209109756
45,24,28,14,17,15,18,21,21,no_line_C,221279,0.0001,1000,8,262.121972708,2.6,12.0,0.08,-0.28,-0.02083333333333326
46,22,24,14,17,15,18,21,20,no_line_C,221280,0.0001,1000,8,206.379191,2.74,12.0,0.0,-0.36,-0.047323399558498735
47,22,23,14,16,22,18,20,19,no_line_C,221281,0.0001,1000,8,121.867886583,2.68,13.0,0.0,-0.38,-0.05979437229437212
48,22,23,14,19,15,20,20,30,no_line_C,221282,0.0001,1000,8,171.662181208,2.5,10.0,0.0,-0.24,-0.022367075664621705
49,22,27,14,17,21,18,24,22,no_line_C,221283,0.0001,1000,8,71.678157834,2.46,10.0,0.02,-0.3,-0.04053030303030303
50,22,22,14,40,15,18,23,20,no_line_C,221284,0.0001,1000,8,224.791135292,2.28,12.0,0.12,-0.04,0.0237068965517242
