run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,21,22,44,31,44,52,51,64,yes_line_7_test,41235,0.0001,1000,8,1107.797648541,-1.8,2.0,1.8,0.3333333333333333,0.02479409746053518
2,19,28,34,38,51,46,69,58,yes_line_7_test,41236,0.0001,1000,8,1280.283871917,-2.111111111111111,2.0,2.111111111111111,0.4888888888888889,0.03436236245650326
3,19,28,39,47,34,51,64,59,yes_line_7_test,41237,0.0001,1000,8,1197.248942541,-2.066666666666667,3.0,2.066666666666667,0.37777777777777777,0.024560117302052653
4,19,57,22,28,34,67,45,46,yes_line_7_test,41238,0.0001,1000,8,1182.522326166,-1.5555555555555556,7.0,1.6444444444444444,0.4444444444444444,0.0570602556299451
5,21,24,35,50,44,55,64,41,yes_line_7_test,41239,0.0001,1000,8,1202.207391125,-1.9111111111111112,4.0,2.0,0.3333333333333333,0.01926791578134046
6,21,25,37,49,33,56,64,42,yes_line_7_test,41240,0.0001,1000,8,1138.453977959,-1.7555555555555555,5.0,1.8222222222222222,0.3333333333333333,0.025217026733747483
7,19,26,33,41,41,49,59,71,yes_line_7_test,41241,0.0001,1000,8,1189.113764458,-2.022222222222222,0.0,2.022222222222222,0.5333333333333333,0.04340327338471783
8,17,35,26,56,51,38,64,40,yes_line_7_test,41242,0.0001,1000,8,1103.917438333,-1.7555555555555555,6.0,1.8666666666666667,0.4222222222222222,0.03286228667258562
9,17,27,47,69,33,53,61,35,yes_line_7_test,41243,0.0001,1000,8,1212.911254459,-2.088888888888889,6.0,2.311111111111111,0.5333333333333333,0.052136389360498026
10,19,28,37,56,35,51,55,66,yes_line_7_test,41244,0.0001,1000,8,1104.368832583,-2.2,4.0,2.2,0.4222222222222222,0.026250348610207253
11,19,24,54,29,69,40,44,58,yes_line_7_test,41245,0.0001,1000,8,1169.750078916,-1.9777777777777779,6.0,1.9777777777777779,0.4888888888888889,0.05282617019239977
12,19,27,41,59,35,43,74,53,yes_line_7_test,41246,0.0001,1000,8,1323.45072975,-2.2888888888888888,5.0,2.2888888888888888,0.6,0.044676500321661594
13,17,31,25,42,38,51,56,59,yes_line_7_test,41247,0.0001,1000,8,1100.263624125,-1.5777777777777777,2.0,1.5777777777777777,0.3111111111111111,0.0316639700677519
14,19,23,32,60,41,48,54,68,yes_line_7_test,41248,0.0001,1000,8,1289.858798209,-2.1555555555555554,3.0,2.1555555555555554,0.4666666666666667,0.04839878447872836
15,19,23,67,42,35,59,69,51,yes_line_7_test,41249,0.0001,1000,8,1229.904327292,-2.6,5.0,2.6,0.4888888888888889,0.05359036676977458
16,17,24,53,33,46,37,65,60,yes_line_7_test,41250,0.0001,1000,8,1247.754409958,-1.9333333333333333,4.0,1.9333333333333333,0.4444444444444444,0.04892874337987485
17,17,27,40,47,35,63,71,55,yes_line_7_test,41251,0.0001,1000,8,1243.03591575,-2.3777777777777778,4.0,2.3777777777777778,0.5777777777777777,0.05071558382553376
18,19,42,27,43,35,54,56,61,yes_line_7_test,41252,0.0001,1000,8,1199.699604083,-1.9777777777777779,3.0,1.9777777777777779,0.3111111111111111,0.014992342299224637
19,17,51,26,31,38,69,42,58,yes_line_7_test,41253,0.0001,1000,8,1159.697043334,-1.8666666666666667,6.0,1.8666666666666667,0.5333333333333333,0.052030703458997296
20,17,38,25,33,63,53,41,56,yes_line_7_test,41254,0.0001,1000,8,1155.723442292,-1.7333333333333334,5.0,1.7333333333333334,0.4,0.037700376014248915
21,19,27,35,30,58,39,64,48,yes_line_7_test,41255,0.0001,1000,8,1106.294408625,-1.6,4.0,1.6,0.37777777777777777,0.03689516129032255
22,20,29,24,37,55,39,62,46,yes_line_7_test,41256,0.0001,1000,8,1009.494373958,-1.4222222222222223,4.0,1.4444444444444444,0.3111111111111111,0.03176695616211744
23,21,27,31,55,40,42,50,67,yes_line_7_test,41257,0.0001,1000,8,1190.924779208,-1.8888888888888888,3.0,1.8888888888888888,0.4,0.0262157318608931
24,21,68,24,36,27,43,50,58,yes_line_7_test,41258,0.0001,1000,8,1134.02791925,-1.7555555555555555,6.0,1.9111111111111112,0.4222222222222222,0.05044638453191275
25,17,47,24,35,34,67,53,66,yes_line_7_test,41259,0.0001,1000,8,1204.5497055,-2.111111111111111,5.0,2.1333333333333333,0.4888888888888889,0.059872566538135885
26,19,34,25,57,44,38,59,70,yes_line_7_test,41260,0.0001,1000,8,1258.380356,-2.1777777777777776,3.0,2.1777777777777776,0.5111111111111111,0.04813071042327044
27,19,31,33,50,43,65,46,62,yes_line_7_test,41261,0.0001,1000,8,1205.821705958,-2.2444444444444445,4.0,2.2444444444444445,0.4,0.020831407708660654
28,22,50,32,27,38,52,66,60,yes_line_7_test,41262,0.0001,1000,8,1277.261615708,-2.2,4.0,2.2444444444444445,0.35555555555555557,0.026970809705308074
29,19,25,29,41,56,68,42,59,yes_line_7_test,41263,0.0001,1000,8,1137.572126417,-2.022222222222222,3.0,2.022222222222222,0.4666666666666667,0.05004044152631071
30,21,21,28,34,49,43,55,67,yes_line_7_test,41264,0.0001,1000,8,1107.699364834,-1.5555555555555556,1.0,1.5555555555555556,0.4,0.052343274497869574
31,17,29,41,59,29,43,54,75,yes_line_7_test,41265,0.0001,1000,8,1181.663022208,-2.2,4.0,2.2888888888888888,0.6666666666666666,0.058671097889746227
32,21,35,27,49,55,37,63,69,yes_line_7_test,41266,0.0001,1000,8,1366.831649,-2.4,3.0,2.4,0.4444444444444444,0.03710583544762591
33,19,24,43,30,63,51,38,54,yes_line_7_test,41267,0.0001,1000,8,1085.314627625,-1.6444444444444444,5.0,1.711111111111111,0.35555555555555557,0.03483770787417351
34,19,21,36,33,38,48,51,60,yes_line_7_test,41268,0.0001,1000,8,1037.804395,-1.288888888888889,1.0,1.288888888888889,0.28888888888888886,0.028357579590976068
35,23,26,29,37,47,53,60,46,yes_line_7_test,41269,0.0001,1000,8,1149.578367917,-1.6222222222222222,3.0,1.6222222222222222,0.2,0.008604662847954803
36,29,24,31,47,37,46,59,65,yes_line_7_test,41270,0.0001,1000,8,1084.006477791,-2.0,3.0,2.0,0.28888888888888886,0.013337468982630218
37,17,26,33,33,50,55,67,44,yes_line_7_test,41271,0.0001,1000,8,1138.5850325,-1.711111111111111,3.0,1.7333333333333334,0.4888888888888889,0.044875930521091734
38,17,34,24,49,40,60,66,40,yes_line_7_test,41272,0.0001,1000,8,1099.626073583,-1.8222222222222222,5.0,1.9555555555555555,0.4666666666666667,0.0457966764418376
39,21,22,39,27,40,45,52,58,yes_line_7_test,41273,0.0001,1000,8,1023.352293208,-1.2444444444444445,1.0,1.288888888888889,0.2,0.02143463497453313
40,22,22,31,37,57,44,50,64,yes_line_7_test,41274,0.0001,1000,8,1226.148435417,-1.7555555555555555,2.0,1.7555555555555555,0.3111111111111111,0.034391338660353155
41,21,26,31,39,48,55,46,65,yes_line_7_test,41275,0.0001,1000,8,1088.240391375,-1.8444444444444446,2.0,1.8444444444444446,0.35555555555555557,0.023620992106032412
42,23,26,45,29,33,51,61,66,yes_line_7_test,41276,0.0001,1000,8,1129.901227167,-1.9111111111111112,2.0,1.9111111111111112,0.3333333333333333,0.037980490631639885
43,19,26,31,47,36,59,68,49,yes_line_7_test,41277,0.0001,1000,8,1126.372104792,-1.9333333333333333,3.0,1.9333333333333333,0.4666666666666667,0.04445113143957613
44,21,24,44,66,59,29,54,38,yes_line_7_test,41278,0.0001,1000,8,1177.610857875,-1.9333333333333333,8.0,2.2666666666666666,0.37777777777777777,0.04370486278285979
45,19,24,49,59,38,33,49,67,yes_line_7_test,41279,0.0001,1000,8,1195.591620125,-2.0,5.0,2.088888888888889,0.4444444444444444,0.04144397785836995
46,17,30,36,24,49,44,55,59,yes_line_7_test,41280,0.0001,1000,8,1056.387713167,-1.4666666666666666,3.0,1.5777777777777777,0.3111111111111111,0.03526299568522706
47,21,23,35,32,43,47,62,55,yes_line_7_test,41281,0.0001,1000,8,1134.526155542,-1.5555555555555556,2.0,1.5555555555555556,0.28888888888888886,0.027186041793467064
48,17,24,34,44,39,64,57,56,yes_line_7_test,41282,0.0001,1000,8,1163.674572959,-1.9333333333333333,3.0,1.9333333333333333,0.4222222222222222,0.04146605681271054
49,21,25,30,42,42,59,68,55,yes_line_7_test,41283,0.0001,1000,8,1237.231972666,-2.088888888888889,2.0,2.088888888888889,0.4222222222222222,0.04044048292774938
50,17,30,34,38,50,43,64,68,yes_line_7_test,41284,0.0001,1000,8,1497.793061541,-2.1333333333333333,1.0,2.1333333333333333,0.5111111111111111,0.04140097524381092
