run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,28,39,44,35,52,62,23,12,yes_line_C,251235,0.0001,1000,8,636.977579667,-1.0444444444444445,12.0,2.1777777777777776,0.4888888888888889,0.062424822307271643
2,19,37,39,50,29,72,53,12,yes_line_C,251236,0.0001,1000,8,736.081563709,-1.4,9.0,2.2222222222222223,0.7111111111111111,0.09390882688517777
3,29,67,45,48,59,34,23,12,yes_line_C,251237,0.0001,1000,8,721.291493667,-1.5333333333333334,14.0,2.7333333333333334,0.6,0.08025083952376089
4,44,32,44,62,37,75,23,12,yes_line_C,251238,0.0001,1000,8,839.60231425,-1.8,13.0,2.933333333333333,0.7777777777777778,0.08862388469457794
5,31,37,32,45,51,53,26,12,yes_line_C,251239,0.0001,1000,8,590.345606166,-0.8666666666666667,12.0,1.9333333333333333,0.28888888888888886,0.030558053276385166
6,19,35,34,56,47,62,27,12,yes_line_C,251240,0.0001,1000,8,696.510773625,-0.9777777777777777,11.0,2.022222222222222,0.4888888888888889,0.08578214759169245
7,52,30,41,56,24,45,33,12,yes_line_C,251241,0.0001,1000,8,680.125901959,-1.0,13.0,2.111111111111111,0.35555555555555557,0.04438236265551021
8,29,42,51,58,45,24,34,12,yes_line_C,251242,0.0001,1000,8,704.141070333,-1.0444444444444445,14.0,2.2222222222222223,0.4,0.048018042646254644
9,35,40,46,35,68,64,23,12,yes_line_C,251243,0.0001,1000,8,603.917447834,-1.6666666666666667,12.0,2.8,0.6222222222222222,0.07638819534605013
10,23,33,38,71,42,26,36,16,yes_line_C,251244,0.0001,1000,8,632.7722365,-0.8222222222222222,12.0,1.8222222222222222,0.6,0.058276740237690916
11,32,49,39,43,56,26,61,12,yes_line_C,251245,0.0001,1000,8,721.82226775,-1.5555555555555556,11.0,2.533333333333333,0.4666666666666667,0.04605396632176895
12,55,30,42,46,81,33,22,12,yes_line_C,251246,0.0001,1000,8,671.801842291,-1.6222222222222222,14.0,2.8666666666666667,0.9111111111111111,0.10517787157069636
13,18,54,78,37,50,33,40,12,yes_line_C,251247,0.0001,1000,8,651.005916125,-1.6444444444444444,12.0,2.488888888888889,0.8444444444444444,0.10083149669404912
14,29,55,34,36,55,48,22,12,yes_line_C,251248,0.0001,1000,8,580.7294235,-0.9555555555555556,12.0,2.111111111111111,0.3333333333333333,0.05616062520784837
15,44,29,56,53,35,36,25,12,yes_line_C,251249,0.0001,1000,8,594.434764208,-0.9333333333333333,14.0,2.0444444444444443,0.35555555555555557,0.04357619577308114
16,17,36,34,40,60,52,29,12,yes_line_C,251250,0.0001,1000,8,583.24738525,-0.7111111111111111,11.0,1.711111111111111,0.4444444444444444,0.07439516129032242
17,33,29,38,51,42,83,23,12,yes_line_C,251251,0.0001,1000,8,716.466640125,-1.4,12.0,2.533333333333333,0.9555555555555556,0.10435898765688201
18,33,45,52,39,65,31,22,12,yes_line_C,251252,0.0001,1000,8,620.259340333,-1.1333333333333333,15.0,2.422222222222222,0.5555555555555556,0.06852141547092461
19,19,39,81,48,84,28,41,12,yes_line_C,251253,0.0001,1000,8,833.6279055,-2.311111111111111,12.0,3.2444444444444445,0.9777777777777777,0.14172470674486792
20,18,44,40,70,46,28,56,12,yes_line_C,251254,0.0001,1000,8,702.9941915,-1.4666666666666666,10.0,2.4,0.6666666666666666,0.09099547976166011
21,17,24,57,49,90,58,43,12,yes_line_C,251255,0.0001,1000,8,808.617502459,-2.2666666666666666,10.0,3.0,1.1111111111111112,0.13635944700460811
22,54,53,22,37,57,52,32,12,yes_line_C,251256,0.0001,1000,8,740.851321583,-1.5777777777777777,13.0,2.577777777777778,0.37777777777777777,0.04733795125897444
23,34,28,43,51,68,63,24,12,yes_line_C,251257,0.0001,1000,8,883.34556075,-1.6666666666666667,12.0,2.7777777777777777,0.6222222222222222,0.08799810246679307
24,33,29,54,49,41,60,23,12,yes_line_C,251258,0.0001,1000,8,782.708766,-1.1777777777777778,12.0,2.311111111111111,0.4444444444444444,0.06278801843317972
25,31,49,34,36,68,46,23,12,yes_line_C,251259,0.0001,1000,8,591.957501875,-1.1333333333333333,12.0,2.2666666666666666,0.6222222222222222,0.06852141547092461
26,44,30,37,51,37,68,24,12,yes_line_C,251260,0.0001,1000,8,677.937115458,-1.2222222222222223,12.0,2.3333333333333335,0.6222222222222222,0.06538113488768227
27,48,30,40,58,52,21,36,12,yes_line_C,251261,0.0001,1000,8,680.576572125,-1.0888888888888888,14.0,2.2888888888888888,0.4,0.05581351145867264
28,26,52,41,31,76,68,21,12,yes_line_C,251262,0.0001,1000,8,698.993453625,-1.7555555555555555,12.0,2.933333333333333,0.8,0.12536993193252433
29,38,29,69,54,59,26,30,12,yes_line_C,251263,0.0001,1000,8,594.668632833,-1.5333333333333334,14.0,2.7555555555555555,0.6444444444444445,0.08577134425562227
30,49,34,54,68,26,48,39,12,yes_line_C,251264,0.0001,1000,8,782.523242333,-1.8222222222222222,14.0,2.7555555555555555,0.6222222222222222,0.05261485826001944
31,33,33,46,41,49,23,39,13,yes_line_C,251265,0.0001,1000,8,527.649395042,-0.6444444444444445,13.0,1.711111111111111,0.17777777777777778,0.009796785839059075
32,33,30,53,37,58,45,25,12,yes_line_C,251266,0.0001,1000,8,612.702978792,-1.0,12.0,2.088888888888889,0.4,0.04864857425960589
33,50,31,65,33,24,54,44,12,yes_line_C,251267,0.0001,1000,8,629.241302,-1.4444444444444444,12.0,2.3777777777777778,0.5555555555555556,0.06586880346284651
34,32,36,43,54,65,60,44,12,yes_line_C,251268,0.0001,1000,8,655.917755292,-2.1777777777777776,9.0,2.911111111111111,0.5555555555555556,0.03512493007644957
35,28,37,57,42,58,49,24,12,yes_line_C,251269,0.0001,1000,8,708.123957583,-1.3111111111111111,12.0,2.422222222222222,0.4,0.05662235998739096
36,44,42,28,52,58,24,36,12,yes_line_C,251270,0.0001,1000,8,716.276213166,-1.0666666666666667,14.0,2.2,0.4,0.04855056669572799
37,27,33,44,48,38,60,22,12,yes_line_C,251271,0.0001,1000,8,631.940630041,-0.8,12.0,1.9555555555555555,0.4444444444444444,0.060398682417083016
38,46,36,60,36,65,49,23,12,yes_line_C,251272,0.0001,1000,8,734.598193542,-1.7555555555555555,12.0,2.888888888888889,0.5555555555555556,0.0619142744401695
39,33,47,71,48,58,23,39,12,yes_line_C,251273,0.0001,1000,8,760.660793958,-1.8444444444444446,14.0,2.933333333333333,0.6888888888888889,0.07271464769515634
40,36,22,40,78,35,53,63,12,yes_line_C,251274,0.0001,1000,8,852.947932375,-2.022222222222222,9.0,2.7555555555555555,0.8444444444444444,0.09797554477114856
41,19,57,24,38,31,45,50,12,yes_line_C,251275,0.0001,1000,8,542.93351025,-0.6222222222222222,8.0,1.4222222222222223,0.37777777777777777,0.07521037868162694
42,19,26,46,47,54,37,79,12,yes_line_C,251276,0.0001,1000,8,791.303653,-1.6,9.0,2.3333333333333335,0.8666666666666667,0.1103326612903226
