run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,25,51,50,39,27,43,33,21,yes_line_D,261235,0.0001,1000,8,888.831020375,-1.1136363636363635,12.0,1.9090909090909092,0.045454545454545456,-0.006747404844290594
2,22,28,32,55,46,61,41,26,yes_line_D,261236,0.0001,1000,8,926.708121584,-1.6136363636363635,8.0,2.022727272727273,0.25,0.018327974276527215
3,18,28,41,47,47,49,54,23,yes_line_D,261237,0.0001,1000,8,767.743306833,-1.5227272727272727,6.0,2.0,0.18181818181818182,0.006188925081433094
4,35,28,41,47,58,45,25,28,yes_line_D,261238,0.0001,1000,8,830.039699875,-1.5227272727272727,11.0,2.227272727272727,0.11363636363636363,-0.019055374592833907
5,38,29,48,45,30,37,42,33,yes_line_D,261239,0.0001,1000,8,715.879421042,-1.4090909090909092,12.0,1.7045454545454546,-0.20454545454545456,-0.07731788079470192
6,22,28,47,26,42,43,59,38,yes_line_D,261240,0.0001,1000,8,809.869934084,-1.4772727272727273,6.0,1.6590909090909092,0.20454545454545456,-0.005737704918032938
7,27,44,32,55,50,28,33,23,yes_line_D,261241,0.0001,1000,8,845.458708959,-1.1818181818181819,12.0,2.0,0.09090909090909091,-0.008904109589041198
8,32,28,46,37,42,56,24,19,yes_line_D,261242,0.0001,1000,8,723.830793375,-1.0,12.0,1.9318181818181819,0.20454545454545456,0.008098591549295708
9,31,28,32,50,46,46,25,20,yes_line_D,261243,0.0001,1000,8,720.512246916,-0.8636363636363636,12.0,1.75,0.045454545454545456,-0.008633093525179936
10,20,34,48,35,38,39,51,24,yes_line_D,261244,0.0001,1000,8,795.35012925,-1.1136363636363635,6.0,1.5681818181818181,0.06818181818181818,-0.02145328719723194
11,23,39,57,42,32,38,54,22,yes_line_D,261245,0.0001,1000,8,805.591437,-1.5227272727272727,11.0,2.022727272727273,0.1590909090909091,0.00048859934853418
12,31,28,28,47,46,33,23,31,yes_line_D,261246,0.0001,1000,8,644.375758417,-0.6136363636363636,9.0,1.3636363636363635,-0.09090909090909091,-0.04719101123595504
13,18,28,42,52,51,34,37,31,yes_line_D,261247,0.0001,1000,8,683.324620709,-1.2045454545454546,9.0,1.6136363636363635,0.13636363636363635,-0.009044368600682695
14,32,28,39,44,49,40,42,26,yes_line_D,261248,0.0001,1000,8,554.071171583,-1.3636363636363635,9.0,1.7727272727272727,-0.11363636363636363,-0.06166666666666676
15,30,28,46,49,47,41,29,31,yes_line_D,261249,0.0001,1000,8,505.597969292,-1.3863636363636365,11.0,1.9318181818181819,-0.1590909090909091,-0.05249169435215961
16,35,28,45,50,38,53,39,21,yes_line_D,261250,0.0001,1000,8,732.090747,-1.5681818181818181,10.0,2.1136363636363638,0.09090909090909091,-0.027346278317152084
17,30,28,33,54,29,48,24,32,yes_line_D,261251,0.0001,1000,8,587.640465333,-0.8636363636363636,11.0,1.5681818181818181,0.045454545454545456,-0.02931654676258999
18,23,36,47,49,40,38,33,21,yes_line_D,261252,0.0001,1000,8,698.224611083,-1.0681818181818181,12.0,1.75,0.0,-0.02735191637630674
19,18,30,42,35,54,32,43,32,yes_line_D,261253,0.0001,1000,8,664.2886795,-1.0454545454545454,7.0,1.4090909090909092,0.18181818181818182,-0.02202797202797213
20,33,28,32,57,46,28,24,30,yes_line_D,261254,0.0001,1000,8,609.985373708,-0.8636363636363636,13.0,1.7272727272727273,0.11363636363636363,-0.02302158273381294
21,32,28,48,42,28,38,44,33,yes_line_D,261255,0.0001,1000,8,628.535037334,-1.2045454545454546,9.0,1.5454545454545454,-0.18181818181818182,-0.06621160409556315
