run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,35,49,48,63,59,73,84,91,yes_line_E,271235,0.0001,1000,8,1338.6963985,-1.903225806451613,2.0,1.903225806451613,0.45161290322580644,0.05197958167330685
2,38,35,60,65,103,87,78,98,yes_line_E,271236,0.0001,1000,8,1638.79960825,-2.903225806451613,4.0,2.9516129032258065,0.6451612903225806,0.08344414893617014
3,35,53,38,81,64,95,84,74,yes_line_E,271237,0.0001,1000,8,1335.237147875,-2.2580645161290325,5.0,2.3225806451612905,0.5161290322580645,0.0681059160305344
4,38,34,63,73,79,103,87,97,yes_line_E,271238,0.0001,1000,8,1545.484838708,-3.064516129032258,3.0,3.129032258064516,0.6612903225806451,0.07703614982578388
5,37,52,38,59,96,77,76,91,yes_line_E,271239,0.0001,1000,8,1291.914370167,-2.2903225806451615,4.0,2.3548387096774195,0.5,0.0736097908745248
6,35,39,64,54,93,77,71,83,yes_line_E,271240,0.0001,1000,8,1326.067756375,-2.129032258064516,4.0,2.129032258064516,0.4838709677419355,0.06068313953488369
7,40,33,68,106,57,83,74,90,yes_line_E,271241,0.0001,1000,8,1458.48538725,-2.693548387096774,6.0,2.774193548387097,0.7258064516129032,0.08232191470054451
8,37,38,72,55,86,61,92,82,yes_line_E,271242,0.0001,1000,8,1450.423596666,-2.2419354838709675,5.0,2.2419354838709675,0.43548387096774194,0.06199211281070749
9,43,61,34,64,90,113,115,88,yes_line_E,271243,0.0001,1000,8,1602.13286775,-3.6129032258064515,5.0,3.7419354838709675,0.8548387096774194,0.10197368421052633
10,42,56,47,59,104,73,79,107,yes_line_E,271244,0.0001,1000,8,1472.913568042,-2.9516129032258065,3.0,2.9516129032258065,0.5967741935483871,0.0720623897707231
11,40,33,75,109,81,93,92,102,yes_line_E,271245,0.0001,1000,8,1485.456732958,-3.8870967741935485,5.0,3.967741935483871,0.7741935483870968,0.072025
12,37,35,58,92,79,75,68,96,yes_line_E,271246,0.0001,1000,8,1390.3708335,-2.5161290322580645,5.0,2.564516129032258,0.532258064516129,0.06932870370370381
13,37,56,44,56,77,80,100,102,yes_line_E,271247,0.0001,1000,8,1399.7468355,-2.7096774193548385,1.0,2.7096774193548385,0.5967741935483871,0.078125
14,34,38,96,66,55,71,97,120,yes_line_E,271248,0.0001,1000,8,1549.44721925,-3.1129032258064515,3.0,3.1129032258064515,0.9354838709677419,0.11267872616984409
15,38,33,61,95,67,89,103,113,yes_line_E,271249,0.0001,1000,8,1673.979815542,-3.467741935483871,3.0,3.5483870967741935,0.8387096774193549,0.101184265442404
16,45,37,80,60,66,89,94,100,yes_line_E,271250,0.0001,1000,8,1358.183138916,-3.0161290322580645,3.0,3.032258064516129,0.5645161290322581,0.06291046409807355
17,49,93,65,67,88,99,52,111,yes_line_E,271251,0.0001,1000,8,1514.57959325,-3.870967741935484,5.0,3.967741935483871,0.5483870967741935,0.04567307692307687
18,40,35,62,92,67,88,105,75,yes_line_E,271252,0.0001,1000,8,1459.732888416,-2.903225806451613,5.0,2.9516129032258065,0.6774193548387096,0.07590868794326244
19,42,34,60,78,77,69,107,103,yes_line_E,271253,0.0001,1000,8,1546.889277167,-3.0,4.0,3.064516129032258,0.7258064516129032,0.0831688596491229
20,36,54,43,67,75,64,86,97,yes_line_E,271254,0.0001,1000,8,1195.575064708,-2.225806451612903,3.0,2.225806451612903,0.532258064516129,0.06016522988505746
21,36,50,39,68,65,88,77,93,yes_line_E,271255,0.0001,1000,8,1347.334992125,-2.129032258064516,3.0,2.1774193548387095,0.46774193548387094,0.06698158914728691
22,36,39,104,61,89,107,82,78,yes_line_E,271256,0.0001,1000,8,1368.78457775,-3.4193548387096775,7.0,3.4193548387096775,0.6935483870967742,0.08148070469798663
