run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,30,59,44,77,84,101,56,34,yes_line_F,281235,0.0001,1000,8,1069.893840041,-2.0588235294117645,9.0,2.7058823529411766,1.2549019607843137,0.19118285404232238
2,30,96,48,69,80,86,57,34,yes_line_F,281236,0.0001,1000,8,1161.471883875,-2.3529411764705883,9.0,2.9607843137254903,1.1568627450980393,0.17986842105263157
3,26,46,61,79,83,104,56,34,yes_line_F,281237,0.0001,1000,8,1147.198610584,-2.1372549019607843,9.0,2.823529411764706,1.392156862745098,0.20115165213647623
4,28,48,71,59,94,79,57,34,yes_line_F,281238,0.0001,1000,8,965.26222575,-1.7647058823529411,9.0,2.411764705882353,1.1568627450980393,0.17396416573348272
5,26,67,40,89,56,60,81,34,yes_line_F,281239,0.0001,1000,8,914.457144542,-1.4313725490196079,8.0,2.235294117647059,1.0980392156862746,0.18235738352503783
6,28,40,53,90,71,57,86,38,yes_line_F,281240,0.0001,1000,8,984.276428833,-1.6274509803921569,7.0,2.2941176470588234,1.0784313725490196,0.18052176878481307
7,26,50,41,71,99,54,75,34,yes_line_F,281241,0.0001,1000,8,782.834426792,-1.3725490196078431,7.0,2.156862745098039,1.2941176470588236,0.19736842105263164
8,28,84,64,42,94,96,58,34,yes_line_F,281242,0.0001,1000,8,1039.044465542,-2.3529411764705883,10.0,3.0980392156862746,1.196078431372549,0.19936842105263164
9,28,42,57,78,79,93,53,34,yes_line_F,281243,0.0001,1000,8,860.498031041,-1.6470588235294117,9.0,2.3529411764705883,1.1372549019607843,0.1857304900181489
10,26,46,64,80,58,83,96,34,yes_line_F,281244,0.0001,1000,8,913.032466,-2.0980392156862746,7.0,2.784313725490196,1.2352941176470589,0.18874419107316553
11,26,41,73,55,79,92,56,34,yes_line_F,281245,0.0001,1000,8,812.78115525,-1.4901960784313726,8.0,2.2549019607843137,1.1568627450980393,0.18728070175438583
12,26,43,61,83,72,98,56,36,yes_line_F,281246,0.0001,1000,8,910.926464084,-1.8627450980392157,9.0,2.549019607843137,1.2745098039215685,0.19105263157894736
13,30,41,77,61,79,56,92,34,yes_line_F,281247,0.0001,1000,8,824.148012,-1.7647058823529411,8.0,2.450980392156863,1.0784313725490196,0.17768756998880186
14,30,65,90,81,46,111,56,34,yes_line_F,281248,0.0001,1000,8,941.178201375,-2.607843137254902,11.0,3.2549019607843137,1.4509803921568627,0.20653021442495123
15,28,39,55,58,76,81,91,34,yes_line_F,281249,0.0001,1000,8,1139.905289375,-1.607843137254902,6.0,2.372549019607843,1.0980392156862746,0.18611300979722034
16,29,74,48,79,55,91,61,34,yes_line_F,281250,0.0001,1000,8,1422.3839705,-1.7843137254901962,9.0,2.411764705882353,1.0784313725490196,0.16955525757067824
17,28,75,44,60,84,104,55,34,yes_line_F,281251,0.0001,1000,8,1484.864352667,-2.0392156862745097,9.0,2.7254901960784315,1.3529411764705883,0.19964114832535884
18,28,46,66,98,86,81,62,38,yes_line_F,281252,0.0001,1000,8,1405.704217292,-2.450980392156863,9.0,3.019607843137255,1.2352941176470589,0.1800416883793643
19,27,45,106,65,82,81,53,36,yes_line_F,281253,0.0001,1000,8,1010.31343225,-2.2549019607843137,9.0,2.8823529411764706,1.411764705882353,0.20039872408293458
20,32,39,55,65,77,91,53,36,yes_line_F,281254,0.0001,1000,8,679.879182583,-1.3333333333333333,9.0,1.9803921568627452,1.0196078431372548,0.16712288533834574
21,26,43,64,93,77,85,58,34,yes_line_F,281255,0.0001,1000,8,859.392466,-1.9607843137254901,9.0,2.6862745098039214,1.1764705882352942,0.1890350877192981
22,26,63,44,84,99,79,59,34,yes_line_F,281256,0.0001,1000,8,958.161840041,-2.1176470588235294,9.0,2.843137254901961,1.2941176470588236,0.1952167817083692
23,32,60,46,95,76,88,54,34,yes_line_F,281257,0.0001,1000,8,866.965198584,-2.0588235294117645,9.0,2.627450980392157,1.0980392156862746,0.18035811177428096
24,32,42,60,75,85,59,98,34,yes_line_F,281258,0.0001,1000,8,825.260211916,-2.0588235294117645,8.0,2.6862745098039214,1.1568627450980393,0.18293543136190982
25,30,39,56,73,85,74,56,34,yes_line_F,281259,0.0001,1000,8,669.257787667,-1.3137254901960784,8.0,2.0392156862745097,0.9411764705882353,0.164482515012363
26,28,44,53,72,71,91,48,40,yes_line_F,281260,0.0001,1000,8,694.254291375,-1.3137254901960784,9.0,1.9019607843137254,1.0980392156862746,0.164482515012363
27,30,46,79,61,86,106,63,34,yes_line_F,281261,0.0001,1000,8,913.885954792,-2.450980392156863,8.0,3.0588235294117645,1.3529411764705883,0.19340802501302767
28,26,40,58,73,55,93,77,34,yes_line_F,281262,0.0001,1000,8,786.205530667,-1.4901960784313726,7.0,2.2745098039215685,1.1764705882352942,0.18782894736842093
29,28,41,74,98,55,51,74,34,yes_line_F,281263,0.0001,1000,8,617.487102667,-1.4705882352941178,8.0,2.196078431372549,1.2352941176470589,0.1902255639097743
30,26,45,61,74,86,98,59,36,yes_line_F,281264,0.0001,1000,8,761.21734975,-2.0588235294117645,9.0,2.7058823529411766,1.2745098039215685,0.18963646228974484
31,28,63,40,95,73,83,57,34,yes_line_F,281265,0.0001,1000,8,713.519496583,-1.8235294117647058,9.0,2.588235294117647,1.1764705882352942,0.18880605318793808
