run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds
1,25,22,30,32,27,32,39,33,maybe_6,131235,0.0001,1000,8,901.41020325
2,20,25,28,33,29,28,33,36,maybe_6,131236,0.0001,1000,8,947.506167625
3,29,25,34,30,31,36,40,35,maybe_6,131237,0.0001,1000,8,1062.887309167
4,22,27,30,40,27,30,37,37,maybe_6,131238,0.0001,1000,8,911.374058542
5,25,27,24,30,31,33,37,38,maybe_6,131239,0.0001,1000,8,1001.082952
6,24,26,34,33,29,32,33,35,maybe_6,131240,0.0001,1000,8,934.050864709
7,26,29,27,30,27,34,37,38,maybe_6,131241,0.0001,1000,8,840.430118458
8,27,33,22,31,29,34,32,40,maybe_6,131242,0.0001,1000,8,1026.628302584
9,24,28,35,32,29,28,35,34,maybe_6,131243,0.0001,1000,8,943.439577875
10,23,26,32,30,29,32,36,34,maybe_6,131244,0.0001,1000,8,767.198967875
11,30,26,28,39,33,37,29,38,maybe_6,131245,0.0001,1000,8,983.331652834
12,24,29,27,35,29,28,34,34,maybe_6,131246,0.0001,1000,8,906.491009292
13,25,29,39,30,28,32,35,36,maybe_6,131247,0.0001,1000,8,854.456160625
14,22,25,30,34,29,28,34,36,maybe_6,131248,0.0001,1000,8,898.717827542
15,27,20,34,30,29,32,37,37,maybe_6,131249,0.0001,1000,8,928.185253666
16,26,29,26,32,27,30,32,37,maybe_6,131250,0.0001,1000,8,859.680083583
17,27,32,27,30,31,32,37,34,maybe_6,131251,0.0001,1000,8,948.16272175
18,25,26,36,30,27,33,33,36,maybe_6,131252,0.0001,1000,8,922.456248875
19,35,22,36,31,29,28,40,34,maybe_6,131253,0.0001,1000,8,831.803735291
20,22,28,32,31,29,40,31,36,maybe_6,131254,0.0001,1000,8,874.282272042
21,22,25,30,32,29,34,39,36,maybe_6,131255,0.0001,1000,8,965.157955625
22,27,19,28,31,31,40,35,32,maybe_6,131256,0.0001,1000,8,785.81668625
23,22,27,31,33,29,34,31,39,maybe_6,131257,0.0001,1000,8,878.439089833
24,25,21,31,33,27,30,36,34,maybe_6,131258,0.0001,1000,8,908.002218
25,22,28,30,33,27,34,31,34,maybe_6,131259,0.0001,1000,8,751.343066542
26,26,27,28,33,29,32,38,38,maybe_6,131260,0.0001,1000,8,938.909386041
27,22,28,29,32,29,33,33,35,maybe_6,131261,0.0001,1000,8,846.239815375
28,27,24,34,30,29,32,42,34,maybe_6,131262,0.0001,1000,8,832.978800458
29,23,27,28,36,29,34,33,39,maybe_6,131263,0.0001,1000,8,839.872324083
30,22,27,29,30,30,32,39,38,maybe_6,131264,0.0001,1000,8,903.174608292
31,24,27,35,30,29,34,37,38,maybe_6,131265,0.0001,1000,8,876.48039725
32,25,32,27,30,36,34,39,41,maybe_6,131266,0.0001,1000,8,915.471653209
33,26,27,35,30,29,32,30,38,maybe_6,131267,0.0001,1000,8,893.676132292
34,23,25,35,30,31,30,36,38,maybe_6,131268,0.0001,1000,8,951.335473334
35,22,28,29,30,29,34,31,35,maybe_6,131269,0.0001,1000,8,705.744721292
36,25,26,32,30,28,30,33,37,maybe_6,131270,0.0001,1000,8,909.17641225
37,27,21,29,30,29,36,33,41,maybe_6,131271,0.0001,1000,8,888.609611917
38,26,27,27,30,29,35,33,36,maybe_6,131272,0.0001,1000,8,815.551104583
39,24,28,32,32,27,30,37,34,maybe_6,131273,0.0001,1000,8,850.635592209
40,29,25,34,33,37,30,33,35,maybe_6,131274,0.0001,1000,8,876.677700916
41,25,22,30,33,29,32,33,40,maybe_6,131275,0.0001,1000,8,771.72118325
42,23,22,29,30,31,32,34,36,maybe_6,131276,0.0001,1000,8,863.521799833
43,29,25,32,30,35,30,39,32,maybe_6,131277,0.0001,1000,8,874.134746208
44,25,19,30,32,29,33,36,37,maybe_6,131278,0.0001,1000,8,890.043402666
45,22,26,31,30,33,30,37,40,maybe_6,131279,0.0001,1000,8,891.705107625
46,20,25,33,32,27,30,31,36,maybe_6,131280,0.0001,1000,8,819.420813958
47,24,26,38,32,31,37,32,34,maybe_6,131281,0.0001,1000,8,809.915715083
48,25,27,28,32,31,32,32,36,maybe_6,131282,0.0001,1000,8,837.97742
49,23,26,23,30,35,30,39,38,maybe_6,131283,0.0001,1000,8,921.308224542
50,22,26,31,32,33,30,39,34,maybe_6,131284,0.0001,1000,8,864.1949985
