run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds
1,27,19,21,46,38,65,35,14,new_maybe_1,141235,0.0001,1000,8,461.447737833
2,25,26,19,34,71,41,58,14,new_maybe_1,141236,0.0001,1000,8,645.265590459
3,19,27,34,27,38,45,58,14,new_maybe_1,141237,0.0001,1000,8,541.721718583
4,25,28,20,51,35,43,58,14,new_maybe_1,141238,0.0001,1000,8,598.13076375
5,48,29,20,38,51,41,68,14,new_maybe_1,141239,0.0001,1000,8,599.814778916
6,24,20,27,38,47,65,67,14,new_maybe_1,141240,0.0001,1000,8,628.406309875
7,25,23,32,31,36,47,57,14,new_maybe_1,141241,0.0001,1000,8,569.764249375
8,25,41,20,57,70,51,54,14,new_maybe_1,141242,0.0001,1000,8,693.881615791
9,25,35,20,39,49,62,30,14,new_maybe_1,141243,0.0001,1000,8,484.715856292
10,26,21,45,36,45,32,53,14,new_maybe_1,141244,0.0001,1000,8,453.136119875
11,29,24,28,49,44,64,38,17,new_maybe_1,141245,0.0001,1000,8,565.474555667
12,28,39,60,32,71,49,20,27,new_maybe_1,141246,0.0001,1000,8,659.932795833
13,27,28,21,56,73,52,64,14,new_maybe_1,141247,0.0001,1000,8,802.760655083
14,19,53,25,33,63,54,43,14,new_maybe_1,141248,0.0001,1000,8,559.556023542
15,32,34,49,54,76,65,54,14,new_maybe_1,141249,0.0001,1000,8,767.304799834
16,25,28,21,44,55,49,60,14,new_maybe_1,141250,0.0001,1000,8,570.146718042
17,32,22,33,40,52,92,73,14,new_maybe_1,141251,0.0001,1000,8,753.882628833
18,24,21,25,30,60,72,55,14,new_maybe_1,141252,0.0001,1000,8,641.781974375
19,36,30,24,64,49,59,43,14,new_maybe_1,141253,0.0001,1000,8,624.55377625
20,24,22,29,36,56,61,45,14,new_maybe_1,141254,0.0001,1000,8,644.994642709
21,25,27,19,33,39,47,80,14,new_maybe_1,141255,0.0001,1000,8,549.851844375
22,20,32,48,55,56,72,78,14,new_maybe_1,141256,0.0001,1000,8,1018.045217458
23,28,39,40,46,54,81,31,20,new_maybe_1,141257,0.0001,1000,8,771.201160416
24,27,20,28,35,50,42,74,14,new_maybe_1,141258,0.0001,1000,8,622.500211291
25,32,21,25,47,63,54,36,14,new_maybe_1,141259,0.0001,1000,8,623.412308541
26,29,18,38,56,48,39,28,14,new_maybe_1,141260,0.0001,1000,8,534.284086166
27,29,29,22,37,58,41,49,14,new_maybe_1,141261,0.0001,1000,8,528.237535416
28,24,18,24,32,57,67,43,14,new_maybe_1,141262,0.0001,1000,8,527.128335084
29,24,31,23,38,56,63,50,14,new_maybe_1,141263,0.0001,1000,8,657.541048375
30,28,43,43,37,63,76,57,14,new_maybe_1,141264,0.0001,1000,8,768.463372625
31,30,49,28,37,65,74,24,14,new_maybe_1,141265,0.0001,1000,8,687.685775333
32,44,20,27,54,48,77,40,14,new_maybe_1,141266,0.0001,1000,8,603.692534542
33,31,35,20,62,52,39,28,14,new_maybe_1,141267,0.0001,1000,8,498.108793083
34,24,21,40,47,45,44,56,14,new_maybe_1,141268,0.0001,1000,8,588.631728375
35,20,42,33,51,51,56,73,14,new_maybe_1,141269,0.0001,1000,8,756.739765167
36,27,20,28,47,45,40,63,14,new_maybe_1,141270,0.0001,1000,8,573.724454416
37,25,26,21,34,38,43,62,14,new_maybe_1,141271,0.0001,1000,8,449.6851945
38,24,20,24,32,44,35,54,14,new_maybe_1,141272,0.0001,1000,8,499.604539167
39,29,37,33,45,55,38,25,16,new_maybe_1,141273,0.0001,1000,8,457.035772125
40,26,28,22,65,63,57,41,14,new_maybe_1,141274,0.0001,1000,8,705.607948708
41,26,20,40,65,45,52,72,14,new_maybe_1,141275,0.0001,1000,8,709.270072542
42,24,31,36,37,50,43,59,14,new_maybe_1,141276,0.0001,1000,8,561.89017425
43,27,21,25,54,63,47,41,14,new_maybe_1,141277,0.0001,1000,8,465.780389917
44,28,30,19,49,34,44,53,14,new_maybe_1,141278,0.0001,1000,8,479.269759583
45,28,26,19,43,57,76,90,14,new_maybe_1,141279,0.0001,1000,8,640.025532792
46,25,22,30,57,35,59,46,14,new_maybe_1,141280,0.0001,1000,8,524.201295
47,26,19,24,60,45,35,52,14,new_maybe_1,141281,0.0001,1000,8,459.928741917
48,25,23,28,50,34,42,56,14,new_maybe_1,141282,0.0001,1000,8,442.02936075
49,20,26,36,33,45,68,75,14,new_maybe_1,141283,0.0001,1000,8,551.033987792
50,19,38,48,26,66,46,37,14,new_maybe_1,141284,0.0001,1000,8,516.033139792
