run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds
1,10,15,20,23,17,11,21,12,no_line_2_test,21235,0.0001,1000,8,312.622375083
2,10,15,22,17,17,10,21,12,no_line_2_test,21236,0.0001,1000,8,255.320065833
3,10,15,17,27,17,10,19,12,no_line_2_test,21237,0.0001,1000,8,343.097773625
4,10,15,22,18,21,10,21,12,no_line_2_test,21238,0.0001,1000,8,310.517077
5,10,15,20,26,17,10,21,12,no_line_2_test,21239,0.0001,1000,8,329.624890542
6,11,20,14,21,21,10,19,12,no_line_2_test,21240,0.0001,1000,8,306.025524875
7,10,15,22,20,18,10,23,12,no_line_2_test,21241,0.0001,1000,8,274.267900375
8,10,15,22,17,16,10,19,12,no_line_2_test,21242,0.0001,1000,8,236.985174166
9,11,15,22,18,15,10,21,12,no_line_2_test,21243,0.0001,1000,8,322.343689167
10,10,15,18,18,20,10,21,12,no_line_2_test,21244,0.0001,1000,8,216.657601375
11,10,15,18,32,21,10,17,12,no_line_2_test,21245,0.0001,1000,8,340.553008417
12,10,15,22,17,16,10,21,12,no_line_2_test,21246,0.0001,1000,8,197.50018575
13,10,15,18,23,18,10,19,12,no_line_2_test,21247,0.0001,1000,8,216.297212083
14,10,15,18,23,18,10,21,12,no_line_2_test,21248,0.0001,1000,8,194.246859416
15,11,15,22,19,17,10,19,12,no_line_2_test,21249,0.0001,1000,8,183.112312083
16,11,15,14,29,20,10,19,12,no_line_2_test,21250,0.0001,1000,8,298.477531625
17,10,15,19,26,19,10,19,12,no_line_2_test,21251,0.0001,1000,8,243.75812075
18,10,15,20,23,15,11,23,12,no_line_2_test,21252,0.0001,1000,8,146.464221375
19,10,15,22,19,17,10,19,12,no_line_2_test,21253,0.0001,1000,8,217.566822417
20,11,15,26,19,17,10,21,12,no_line_2_test,21254,0.0001,1000,8,298.610658292
21,11,15,22,18,16,10,19,12,no_line_2_test,21255,0.0001,1000,8,179.857865709
22,10,15,19,25,18,10,19,12,no_line_2_test,21256,0.0001,1000,8,157.871521459
23,10,15,17,25,18,10,21,12,no_line_2_test,21257,0.0001,1000,8,255.123021041
24,10,15,22,18,17,11,19,12,no_line_2_test,21258,0.0001,1000,8,198.973292833
25,10,15,20,23,17,10,19,12,no_line_2_test,21259,0.0001,1000,8,169.251317958
26,10,15,19,23,16,10,19,12,no_line_2_test,21260,0.0001,1000,8,83.733131959
27,10,15,18,28,16,10,21,12,no_line_2_test,21261,0.0001,1000,8,254.280282334
28,10,16,22,20,16,10,19,12,no_line_2_test,21262,0.0001,1000,8,153.735816875
29,10,15,18,22,16,10,19,12,no_line_2_test,21263,0.0001,1000,8,139.496710875
30,10,15,18,27,16,10,17,12,no_line_2_test,21264,0.0001,1000,8,190.442715334
31,10,15,18,28,18,10,21,12,no_line_2_test,21265,0.0001,1000,8,277.0073
32,11,15,15,21,23,10,17,12,no_line_2_test,21266,0.0001,1000,8,213.097205375
33,10,15,24,18,21,10,21,12,no_line_2_test,21267,0.0001,1000,8,287.260135667
34,10,15,26,17,17,11,19,12,no_line_2_test,21268,0.0001,1000,8,216.056616083
35,10,15,22,18,17,10,21,12,no_line_2_test,21269,0.0001,1000,8,107.591046333
36,10,15,22,17,16,10,19,12,no_line_2_test,21270,0.0001,1000,8,158.034945166
37,11,15,17,21,18,10,19,12,no_line_2_test,21271,0.0001,1000,8,202.836863375
38,10,15,16,21,18,10,19,12,no_line_2_test,21272,0.0001,1000,8,223.911627917
39,12,15,16,25,16,10,21,12,no_line_2_test,21273,0.0001,1000,8,172.836949333
40,11,15,20,29,17,10,22,12,no_line_2_test,21274,0.0001,1000,8,179.194319208
41,10,15,19,24,17,10,19,12,no_line_2_test,21275,0.0001,1000,8,148.819598625
42,10,15,19,20,16,10,22,12,no_line_2_test,21276,0.0001,1000,8,162.413644583
43,11,15,17,26,19,10,21,12,no_line_2_test,21277,0.0001,1000,8,206.606020917
44,10,15,20,17,17,10,21,12,no_line_2_test,21278,0.0001,1000,8,185.483829792
45,10,15,20,19,19,10,21,12,no_line_2_test,21279,0.0001,1000,8,138.260316125
46,10,15,22,17,19,10,21,12,no_line_2_test,21280,0.0001,1000,8,145.378198041
47,12,15,20,19,16,10,21,12,no_line_2_test,21281,0.0001,1000,8,143.791665917
48,10,15,19,17,23,10,19,12,no_line_2_test,21282,0.0001,1000,8,131.978087292
49,10,15,17,22,16,10,19,12,no_line_2_test,21283,0.0001,1000,8,208.18618525
50,11,15,24,18,23,10,19,12,no_line_2_test,21284,0.0001,1000,8,138.4135905
