run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds
1,14,14,14,14,16,17,22,21,no_line_A,201235,0.0001,1000,8,314.238740959
2,14,14,14,16,16,22,18,27,no_line_A,201236,0.0001,1000,8,164.399549292
3,14,14,14,14,16,19,29,29,no_line_A,201237,0.0001,1000,8,108.471281875
4,14,14,14,16,16,17,21,21,no_line_A,201238,0.0001,1000,8,109.440283292
5,14,14,14,14,16,17,22,27,no_line_A,201239,0.0001,1000,8,86.815155667
6,14,14,14,14,16,17,20,24,no_line_A,201240,0.0001,1000,8,40.953188125
7,14,14,14,14,16,17,24,25,no_line_A,201241,0.0001,1000,8,88.713863666
8,14,14,14,14,17,17,22,21,no_line_A,201242,0.0001,1000,8,21.765750459
9,14,14,14,15,16,16,20,25,no_line_A,201243,0.0001,1000,8,106.57661975
10,14,14,14,15,18,17,24,23,no_line_A,201244,0.0001,1000,8,105.284748917
11,14,14,14,14,16,17,23,23,no_line_A,201245,0.0001,1000,8,18.07555825
12,14,14,14,15,16,23,21,19,no_line_A,201246,0.0001,1000,8,122.508911125
13,14,14,14,15,15,17,18,21,no_line_A,201247,0.0001,1000,8,90.152048458
14,14,14,14,14,16,17,28,23,no_line_A,201248,0.0001,1000,8,21.425604041
15,14,14,14,14,16,17,22,23,no_line_A,201249,0.0001,1000,8,26.990243125
16,14,14,14,14,16,17,20,22,no_line_A,201250,0.0001,1000,8,52.017805334
17,14,14,14,16,16,21,18,23,no_line_A,201251,0.0001,1000,8,61.627941083
18,14,14,14,14,16,17,22,22,no_line_A,201252,0.0001,1000,8,22.328896125
19,14,14,14,15,15,17,22,25,no_line_A,201253,0.0001,1000,8,43.726915167
20,14,14,14,14,16,17,20,27,no_line_A,201254,0.0001,1000,8,29.856091084
21,14,14,14,15,15,17,20,21,no_line_A,201255,0.0001,1000,8,71.210756417
22,14,14,14,15,16,16,24,25,no_line_A,201256,0.0001,1000,8,57.726257625
23,14,14,14,14,16,17,23,21,no_line_A,201257,0.0001,1000,8,45.960678416
24,14,14,14,14,16,18,20,23,no_line_A,201258,0.0001,1000,8,28.890408625
25,14,14,14,15,15,17,22,25,no_line_A,201259,0.0001,1000,8,33.311375375
26,14,14,14,16,16,17,27,23,no_line_A,201260,0.0001,1000,8,90.018712042
27,14,14,14,14,16,17,21,22,no_line_A,201261,0.0001,1000,8,15.0986225
28,14,14,14,14,16,17,24,21,no_line_A,201262,0.0001,1000,8,75.380607041
29,14,14,14,14,16,17,25,27,no_line_A,201263,0.0001,1000,8,37.309814667
30,14,14,14,14,17,17,22,23,no_line_A,201264,0.0001,1000,8,35.375209166
31,14,14,14,16,16,18,18,21,no_line_A,201265,0.0001,1000,8,55.261822417
32,14,14,14,15,15,17,20,21,no_line_A,201266,0.0001,1000,8,27.46521325
33,14,14,14,15,16,17,21,23,no_line_A,201267,0.0001,1000,8,20.702059416
34,14,14,14,15,16,19,17,23,no_line_A,201268,0.0001,1000,8,94.443307125
35,14,14,14,14,16,19,21,21,no_line_A,201269,0.0001,1000,8,23.435212583
36,14,14,14,15,16,17,28,18,no_line_A,201270,0.0001,1000,8,41.863110709
37,14,14,14,15,15,17,34,21,no_line_A,201271,0.0001,1000,8,23.78537825
38,14,14,14,15,15,17,24,21,no_line_A,201272,0.0001,1000,8,45.436195916
39,14,14,14,14,16,17,22,23,no_line_A,201273,0.0001,1000,8,22.106416292
40,14,14,14,14,16,17,30,22,no_line_A,201274,0.0001,1000,8,36.712525375
41,14,14,14,15,16,19,17,21,no_line_A,201275,0.0001,1000,8,28.350285709
42,14,14,14,17,15,17,21,23,no_line_A,201276,0.0001,1000,8,90.137217083
43,14,14,14,15,15,17,18,21,no_line_A,201277,0.0001,1000,8,8.5587995
44,14,14,14,14,16,17,20,24,no_line_A,201278,0.0001,1000,8,19.984332625
45,14,14,14,14,17,17,20,23,no_line_A,201279,0.0001,1000,8,15.959688917
46,14,14,14,15,16,16,18,21,no_line_A,201280,0.0001,1000,8,35.245082542
47,14,14,14,14,16,17,20,22,no_line_A,201281,0.0001,1000,8,17.468699084
48,14,14,14,15,16,17,20,22,no_line_A,201282,0.0001,1000,8,11.61269725
49,14,14,14,14,16,17,20,23,no_line_A,201283,0.0001,1000,8,14.425346875
50,14,14,14,15,15,17,22,25,no_line_A,201284,0.0001,1000,8,32.02319075
