run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds
1,20,19,23,17,16,16,23,18,no_line_B,211235,0.0001,1000,8,883.570872209
2,20,27,19,17,16,16,19,19,no_line_B,211236,0.0001,1000,8,919.083309708
3,20,21,20,17,16,16,28,18,no_line_B,211237,0.0001,1000,8,763.119347542
4,20,26,24,17,16,16,18,18,no_line_B,211238,0.0001,1000,8,625.308494083
5,18,20,16,22,16,16,21,18,no_line_B,211239,0.0001,1000,8,543.774921416
6,21,19,16,19,16,16,28,18,no_line_B,211240,0.0001,1000,8,664.742627
7,18,23,17,19,16,16,22,18,no_line_B,211241,0.0001,1000,8,669.608131417
8,19,21,16,21,16,16,32,18,no_line_B,211242,0.0001,1000,8,730.333534209
9,20,24,20,17,16,16,22,18,no_line_B,211243,0.0001,1000,8,514.496565334
10,18,30,16,19,16,16,19,18,no_line_B,211244,0.0001,1000,8,604.330590541
11,20,21,16,27,16,16,20,18,no_line_B,211245,0.0001,1000,8,544.455246333
12,18,25,16,19,16,16,25,18,no_line_B,211246,0.0001,1000,8,646.473471
13,20,21,16,25,16,16,19,18,no_line_B,211247,0.0001,1000,8,543.295507375
14,20,29,22,17,16,16,18,18,no_line_B,211248,0.0001,1000,8,438.583637083
15,18,20,16,20,16,16,26,18,no_line_B,211249,0.0001,1000,8,529.19561575
16,20,22,20,17,16,16,19,26,no_line_B,211250,0.0001,1000,8,560.099870417
17,18,23,20,18,16,16,27,18,no_line_B,211251,0.0001,1000,8,790.781232292
18,19,21,16,24,16,16,19,25,no_line_B,211252,0.0001,1000,8,562.81030525
19,19,30,16,19,16,16,27,18,no_line_B,211253,0.0001,1000,8,415.171237542
20,19,21,16,23,16,16,20,18,no_line_B,211254,0.0001,1000,8,456.122133042
21,20,27,19,17,16,16,25,18,no_line_B,211255,0.0001,1000,8,483.675774542
22,19,24,16,20,16,16,27,18,no_line_B,211256,0.0001,1000,8,527.3503445
23,19,27,16,31,16,16,19,18,no_line_B,211257,0.0001,1000,8,514.136421
24,18,29,16,20,16,16,21,18,no_line_B,211258,0.0001,1000,8,417.455030208
25,18,30,16,20,16,16,22,18,no_line_B,211259,0.0001,1000,8,595.540348583
26,18,20,16,19,16,16,28,18,no_line_B,211260,0.0001,1000,8,515.228511917
27,18,21,16,20,16,16,20,18,no_line_B,211261,0.0001,1000,8,328.334192917
28,20,23,22,17,16,16,27,18,no_line_B,211262,0.0001,1000,8,746.564903209
29,18,25,20,17,16,16,20,18,no_line_B,211263,0.0001,1000,8,427.617129167
30,18,25,16,21,16,16,18,18,no_line_B,211264,0.0001,1000,8,378.288977875
31,20,33,16,24,16,16,20,18,no_line_B,211265,0.0001,1000,8,465.509145916
32,18,24,16,20,16,16,20,18,no_line_B,211266,0.0001,1000,8,294.89044425
33,20,26,16,19,16,16,21,18,no_line_B,211267,0.0001,1000,8,307.98689375
34,18,19,17,19,16,16,21,18,no_line_B,211268,0.0001,1000,8,404.629158292
35,20,34,21,17,16,16,18,18,no_line_B,211269,0.0001,1000,8,532.436049792
36,19,21,16,23,16,16,24,18,no_line_B,211270,0.0001,1000,8,566.59609475
37,18,18,16,19,16,16,23,18,no_line_B,211271,0.0001,1000,8,454.072292291
38,20,23,19,17,16,16,21,18,no_line_B,211272,0.0001,1000,8,519.020694
39,20,26,22,17,16,16,25,18,no_line_B,211273,0.0001,1000,8,541.188181167
40,19,21,16,19,16,16,23,18,no_line_B,211274,0.0001,1000,8,403.133981208
41,20,24,16,25,16,16,19,18,no_line_B,211275,0.0001,1000,8,407.472322541
42,18,24,16,19,16,16,29,18,no_line_B,211276,0.0001,1000,8,336.476130542
43,18,21,16,19,16,16,22,18,no_line_B,211277,0.0001,1000,8,342.087059375
44,19,23,16,19,16,16,22,18,no_line_B,211278,0.0001,1000,8,434.154910584
45,19,25,16,19,16,16,26,18,no_line_B,211279,0.0001,1000,8,317.53997825
46,20,21,16,19,16,16,19,25,no_line_B,211280,0.0001,1000,8,491.757715292
47,18,26,16,19,16,16,29,18,no_line_B,211281,0.0001,1000,8,609.779645375
48,19,21,16,24,16,16,19,18,no_line_B,211282,0.0001,1000,8,486.782092416
49,18,21,16,21,16,16,27,18,no_line_B,211283,0.0001,1000,8,476.408114375
50,18,32,16,19,16,16,21,18,no_line_B,211284,0.0001,1000,8,350.431159209
