run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds
1,22,26,14,25,15,18,24,22,no_line_C,221235,0.0001,1000,8,437.114269042
2,22,25,14,16,23,18,28,20,no_line_C,221236,0.0001,1000,8,478.800008417
3,22,28,14,17,15,17,25,18,no_line_C,221237,0.0001,1000,8,358.807479666
4,22,25,14,16,15,19,27,22,no_line_C,221238,0.0001,1000,8,249.500199458
5,22,25,14,16,15,19,19,22,no_line_C,221239,0.0001,1000,8,351.929726333
6,22,25,14,16,15,20,28,22,no_line_C,221240,0.0001,1000,8,333.370505
7,23,25,14,16,20,17,19,21,no_line_C,221241,0.0001,1000,8,321.096360125
8,22,25,14,16,15,18,20,22,no_line_C,221242,0.0001,1000,8,317.6354125
9,22,24,14,27,15,17,21,23,no_line_C,221243,0.0001,1000,8,324.595225375
10,22,26,14,17,24,19,26,20,no_line_C,221244,0.0001,1000,8,233.185707875
11,22,29,14,16,15,23,26,20,no_line_C,221245,0.0001,1000,8,382.704920833
12,22,27,14,16,15,18,22,27,no_line_C,221246,0.0001,1000,8,346.674843625
13,22,26,14,16,20,17,22,22,no_line_C,221247,0.0001,1000,8,415.566649417
14,22,25,14,16,23,17,22,27,no_line_C,221248,0.0001,1000,8,377.049625625
15,22,21,14,17,27,17,28,23,no_line_C,221249,0.0001,1000,8,345.260058959
16,22,29,14,16,15,20,27,25,no_line_C,221250,0.0001,1000,8,400.69701625
17,22,22,14,17,15,19,25,25,no_line_C,221251,0.0001,1000,8,254.840424042
18,22,24,14,16,15,19,25,20,no_line_C,221252,0.0001,1000,8,222.306561875
19,22,25,14,16,15,33,20,21,no_line_C,221253,0.0001,1000,8,114.300852333
20,22,28,14,34,15,20,25,20,no_line_C,221254,0.0001,1000,8,313.359070333
21,22,26,14,16,15,18,23,22,no_line_C,221255,0.0001,1000,8,162.210778792
22,23,22,14,16,15,18,29,20,no_line_C,221256,0.0001,1000,8,286.626709541
23,22,30,14,16,15,20,22,25,no_line_C,221257,0.0001,1000,8,315.741668666
24,22,22,14,28,15,18,26,21,no_line_C,221258,0.0001,1000,8,285.675192792
25,22,27,14,28,15,18,20,20,no_line_C,221259,0.0001,1000,8,202.894157458
26,22,22,14,18,15,19,25,22,no_line_C,221260,0.0001,1000,8,202.789041792
27,22,23,14,17,15,29,26,27,no_line_C,221261,0.0001,1000,8,205.002853667
28,22,26,14,16,25,17,19,21,no_line_C,221262,0.0001,1000,8,298.684746917
29,22,26,14,16,15,18,29,22,no_line_C,221263,0.0001,1000,8,258.350765542
30,22,29,14,17,15,21,21,25,no_line_C,221264,0.0001,1000,8,230.377157667
31,22,26,14,16,15,18,23,23,no_line_C,221265,0.0001,1000,8,340.508281875
32,22,27,14,30,15,18,20,24,no_line_C,221266,0.0001,1000,8,385.189268792
33,22,25,14,16,15,18,21,20,no_line_C,221267,0.0001,1000,8,270.209371291
34,22,31,14,18,15,19,19,22,no_line_C,221268,0.0001,1000,8,293.150730042
35,22,24,14,17,15,17,23,19,no_line_C,221269,0.0001,1000,8,170.889189
36,22,25,14,17,15,18,25,20,no_line_C,221270,0.0001,1000,8,179.051765291
37,22,26,14,17,15,18,22,22,no_line_C,221271,0.0001,1000,8,351.242143041
38,22,22,14,16,19,17,25,23,no_line_C,221272,0.0001,1000,8,303.138063458
39,22,27,14,16,15,20,21,21,no_line_C,221273,0.0001,1000,8,174.203340834
40,22,24,14,20,15,18,27,21,no_line_C,221274,0.0001,1000,8,255.941709541
41,22,29,14,17,15,17,26,20,no_line_C,221275,0.0001,1000,8,293.18935825
42,22,30,14,17,15,17,20,24,no_line_C,221276,0.0001,1000,8,301.70004775
43,22,25,14,16,20,17,21,27,no_line_C,221277,0.0001,1000,8,283.6380195
44,22,25,14,16,15,27,18,24,no_line_C,221278,0.0001,1000,8,274.737551459
45,24,28,14,17,15,18,21,21,no_line_C,221279,0.0001,1000,8,262.121972708
46,22,24,14,17,15,18,21,20,no_line_C,221280,0.0001,1000,8,206.379191
47,22,23,14,16,22,18,20,19,no_line_C,221281,0.0001,1000,8,121.867886583
48,22,23,14,19,15,20,20,30,no_line_C,221282,0.0001,1000,8,171.662181208
49,22,27,14,17,21,18,24,22,no_line_C,221283,0.0001,1000,8,71.678157834
50,22,22,14,40,15,18,23,20,no_line_C,221284,0.0001,1000,8,224.791135292
