run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds
1,9,14,44,15,24,32,17,24,no_line_D,231235,0.0001,1000,8,600.524606916
2,9,14,14,19,17,23,38,29,no_line_D,231236,0.0001,1000,8,648.083401584
3,9,14,14,17,28,24,19,36,no_line_D,231237,0.0001,1000,8,622.853556083
4,9,14,14,25,21,22,29,28,no_line_D,231238,0.0001,1000,8,632.415419083
5,9,13,15,23,32,28,22,18,no_line_D,231239,0.0001,1000,8,637.0923315
6,9,14,14,17,24,18,29,26,no_line_D,231240,0.0001,1000,8,527.630689
7,9,15,15,22,22,18,23,38,no_line_D,231241,0.0001,1000,8,615.07643675
8,9,13,15,29,27,18,27,33,no_line_D,231242,0.0001,1000,8,726.361373042
9,9,14,14,21,24,17,30,32,no_line_D,231243,0.0001,1000,8,592.802099583
10,9,14,14,21,25,22,28,38,no_line_D,231244,0.0001,1000,8,610.181313292
11,9,13,15,40,20,29,25,19,no_line_D,231245,0.0001,1000,8,566.573786834
12,9,14,14,21,39,18,27,24,no_line_D,231246,0.0001,1000,8,694.54011475
13,9,12,15,31,30,25,19,26,no_line_D,231247,0.0001,1000,8,587.600214375
14,9,13,15,19,16,21,36,30,no_line_D,231248,0.0001,1000,8,528.186456917
15,9,16,14,16,18,32,30,26,no_line_D,231249,0.0001,1000,8,630.443961125
16,9,13,15,19,26,28,19,35,no_line_D,231250,0.0001,1000,8,691.977752209
17,9,13,15,21,30,23,21,32,no_line_D,231251,0.0001,1000,8,618.189005292
18,9,13,14,21,32,18,31,34,no_line_D,231252,0.0001,1000,8,678.076342625
19,9,13,20,31,20,18,23,32,no_line_D,231253,0.0001,1000,8,583.511310625
20,9,13,15,19,30,18,37,28,no_line_D,231254,0.0001,1000,8,640.35275
21,9,14,14,23,40,20,36,28,no_line_D,231255,0.0001,1000,8,650.023077542
22,9,14,24,17,25,24,32,18,no_line_D,231256,0.0001,1000,8,594.63364225
23,9,13,22,16,27,18,25,42,no_line_D,231257,0.0001,1000,8,625.780366417
24,9,12,15,15,20,25,21,39,no_line_D,231258,0.0001,1000,8,533.62999225
25,9,14,14,17,34,18,23,30,no_line_D,231259,0.0001,1000,8,573.222611292
26,9,19,14,16,26,33,23,29,no_line_D,231260,0.0001,1000,8,665.349342041
27,9,13,15,17,24,32,17,28,no_line_D,231261,0.0001,1000,8,600.965217167
28,9,13,18,21,41,18,21,31,no_line_D,231262,0.0001,1000,8,534.7363385
29,9,13,15,19,24,31,21,20,no_line_D,231263,0.0001,1000,8,572.948078791
30,9,13,21,19,17,27,40,33,no_line_D,231264,0.0001,1000,8,664.018461834
31,9,16,15,15,18,35,30,33,no_line_D,231265,0.0001,1000,8,661.647928375
32,9,14,14,21,38,24,29,24,no_line_D,231266,0.0001,1000,8,571.3198385
33,9,13,20,16,34,18,24,25,no_line_D,231267,0.0001,1000,8,608.264528625
34,9,14,13,15,47,25,23,27,no_line_D,231268,0.0001,1000,8,617.312827791
35,9,14,14,21,25,24,17,32,no_line_D,231269,0.0001,1000,8,619.653399042
36,9,13,15,18,18,21,32,39,no_line_D,231270,0.0001,1000,8,603.842307167
37,9,16,15,15,18,38,28,26,no_line_D,231271,0.0001,1000,8,548.014673292
38,9,12,14,27,34,18,45,20,no_line_D,231272,0.0001,1000,8,739.62975375
39,9,13,20,32,17,14,21,34,no_line_D,231273,0.0001,1000,8,660.949612084
40,9,14,14,17,31,42,29,18,no_line_D,231274,0.0001,1000,8,593.344081917
41,9,20,14,17,18,29,29,22,no_line_D,231275,0.0001,1000,8,519.749523625
42,9,13,26,16,41,24,21,24,no_line_D,231276,0.0001,1000,8,641.429583375
43,9,12,14,17,17,27,22,36,no_line_D,231277,0.0001,1000,8,581.556622875
44,9,13,15,14,20,16,36,29,no_line_D,231278,0.0001,1000,8,604.955241166
45,9,13,26,16,16,30,35,31,no_line_D,231279,0.0001,1000,8,653.878155292
46,9,13,15,19,23,33,28,21,no_line_D,231280,0.0001,1000,8,537.249382792
47,9,34,14,16,24,27,27,28,no_line_D,231281,0.0001,1000,8,636.252219833
48,9,13,14,19,17,26,21,38,no_line_D,231282,0.0001,1000,8,627.013184666
49,9,13,20,16,28,26,19,30,no_line_D,231283,0.0001,1000,8,604.947569917
50,9,13,22,28,20,23,30,20,no_line_D,231284,0.0001,1000,8,628.663684666
