run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds
1,20,58,58,31,25,38,41,15,yes_line_9_test,61235,0.0001,1000,8,172.922396208
2,23,33,42,41,72,57,25,15,yes_line_9_test,61236,0.0001,1000,8,174.996546292
3,25,66,43,32,64,47,27,14,yes_line_9_test,61237,0.0001,1000,8,184.532713792
4,18,30,29,39,52,52,66,14,yes_line_9_test,61238,0.0001,1000,8,177.236446791
5,18,32,45,40,68,52,60,14,yes_line_9_test,61239,0.0001,1000,8,192.462374208
6,21,32,39,62,28,55,43,14,yes_line_9_test,61240,0.0001,1000,8,164.921299667
7,16,31,56,40,57,39,28,14,yes_line_9_test,61241,0.0001,1000,8,176.5480525
8,22,21,38,80,54,42,54,14,yes_line_9_test,61242,0.0001,1000,8,195.453766042
9,18,33,53,37,48,41,37,14,yes_line_9_test,61243,0.0001,1000,8,149.673962167
10,31,62,44,39,47,68,18,22,yes_line_9_test,61244,0.0001,1000,8,179.364410833
11,21,43,30,33,59,68,48,14,yes_line_9_test,61245,0.0001,1000,8,191.258792291
12,20,32,53,65,39,50,27,14,yes_line_9_test,61246,0.0001,1000,8,180.794182959
13,23,66,46,65,32,49,32,15,yes_line_9_test,61247,0.0001,1000,8,193.890273458
14,19,27,48,21,73,32,48,32,yes_line_9_test,61248,0.0001,1000,8,168.001029125
15,20,23,39,39,55,60,33,14,yes_line_9_test,61249,0.0001,1000,8,126.817031458
16,17,32,74,41,57,54,29,14,yes_line_9_test,61250,0.0001,1000,8,193.198487416
17,18,43,29,60,82,41,25,14,yes_line_9_test,61251,0.0001,1000,8,191.074835458
18,17,43,57,59,31,68,32,14,yes_line_9_test,61252,0.0001,1000,8,209.288538083
19,16,41,30,28,47,61,45,14,yes_line_9_test,61253,0.0001,1000,8,149.260292333
20,19,45,31,41,57,65,27,15,yes_line_9_test,61254,0.0001,1000,8,169.164834083
21,19,28,28,44,42,55,54,14,yes_line_9_test,61255,0.0001,1000,8,156.031646833
22,18,30,47,60,46,32,74,14,yes_line_9_test,61256,0.0001,1000,8,199.044673292
23,19,34,38,54,54,72,30,14,yes_line_9_test,61257,0.0001,1000,8,165.398442666
24,17,31,44,51,58,67,27,14,yes_line_9_test,61258,0.0001,1000,8,158.138031917
25,32,27,68,52,65,49,27,14,yes_line_9_test,61259,0.0001,1000,8,160.540901583
26,24,30,46,47,61,62,31,14,yes_line_9_test,61260,0.0001,1000,8,152.294803791
27,20,43,37,50,27,61,26,14,yes_line_9_test,61261,0.0001,1000,8,133.378998291
28,21,31,46,28,43,60,58,14,yes_line_9_test,61262,0.0001,1000,8,138.307360667
29,18,33,34,51,65,28,75,14,yes_line_9_test,61263,0.0001,1000,8,159.575184334
30,19,61,33,69,45,45,29,14,yes_line_9_test,61264,0.0001,1000,8,160.655459
31,28,22,37,52,59,45,27,14,yes_line_9_test,61265,0.0001,1000,8,128.199851417
32,32,19,39,52,56,79,26,14,yes_line_9_test,61266,0.0001,1000,8,146.634715375
33,21,53,28,57,43,68,29,14,yes_line_9_test,61267,0.0001,1000,8,150.090095875
34,16,28,57,41,76,25,40,15,yes_line_9_test,61268,0.0001,1000,8,158.748479792
35,18,19,32,66,56,54,39,14,yes_line_9_test,61269,0.0001,1000,8,154.732489625
36,20,42,52,78,62,32,32,14,yes_line_9_test,61270,0.0001,1000,8,178.559632459
37,22,38,40,65,54,30,96,16,yes_line_9_test,61271,0.0001,1000,8,172.036901167
38,17,48,28,65,39,56,26,15,yes_line_9_test,61272,0.0001,1000,8,131.02815225
39,18,45,62,59,34,45,24,30,yes_line_9_test,61273,0.0001,1000,8,141.641754833
40,22,40,33,48,69,50,25,15,yes_line_9_test,61274,0.0001,1000,8,133.744780417
41,20,32,47,63,57,42,28,14,yes_line_9_test,61275,0.0001,1000,8,138.269402292
42,20,45,31,44,58,31,72,14,yes_line_9_test,61276,0.0001,1000,8,150.949643625
43,22,28,36,82,110,57,50,14,yes_line_9_test,61277,0.0001,1000,8,197.779082459
44,18,51,57,78,29,29,42,14,yes_line_9_test,61278,0.0001,1000,8,144.044317459
45,16,32,69,38,41,26,57,14,yes_line_9_test,61279,0.0001,1000,8,128.076471916
46,16,48,32,40,55,76,27,14,yes_line_9_test,61280,0.0001,1000,8,151.589242042
47,21,19,34,60,53,38,67,16,yes_line_9_test,61281,0.0001,1000,8,141.667100084
48,18,57,36,44,29,54,81,14,yes_line_9_test,61282,0.0001,1000,8,168.992710166
49,18,34,34,43,49,60,64,14,yes_line_9_test,61283,0.0001,1000,8,156.906429208
50,18,29,30,63,45,46,61,14,yes_line_9_test,61284,0.0001,1000,8,155.092966125
