run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds
1,35,49,48,63,59,73,84,91,yes_line_E,271235,0.0001,1000,8,1338.6963985
2,38,35,60,65,103,87,78,98,yes_line_E,271236,0.0001,1000,8,1638.79960825
3,35,53,38,81,64,95,84,74,yes_line_E,271237,0.0001,1000,8,1335.237147875
4,38,34,63,73,79,103,87,97,yes_line_E,271238,0.0001,1000,8,1545.484838708
5,37,52,38,59,96,77,76,91,yes_line_E,271239,0.0001,1000,8,1291.914370167
6,35,39,64,54,93,77,71,83,yes_line_E,271240,0.0001,1000,8,1326.067756375
7,40,33,68,106,57,83,74,90,yes_line_E,271241,0.0001,1000,8,1458.48538725
8,37,38,72,55,86,61,92,82,yes_line_E,271242,0.0001,1000,8,1450.423596666
9,43,61,34,64,90,113,115,88,yes_line_E,271243,0.0001,1000,8,1602.13286775
10,42,56,47,59,104,73,79,107,yes_line_E,271244,0.0001,1000,8,1472.913568042
11,40,33,75,109,81,93,92,102,yes_line_E,271245,0.0001,1000,8,1485.456732958
12,37,35,58,92,79,75,68,96,yes_line_E,271246,0.0001,1000,8,1390.3708335
13,37,56,44,56,77,80,100,102,yes_line_E,271247,0.0001,1000,8,1399.7468355
14,34,38,96,66,55,71,97,120,yes_line_E,271248,0.0001,1000,8,1549.44721925
15,38,33,61,95,67,89,103,113,yes_line_E,271249,0.0001,1000,8,1673.979815542
16,45,37,80,60,66,89,94,100,yes_line_E,271250,0.0001,1000,8,1358.183138916
17,49,93,65,67,88,99,52,111,yes_line_E,271251,0.0001,1000,8,1514.57959325
18,40,35,62,92,67,88,105,75,yes_line_E,271252,0.0001,1000,8,1459.732888416
19,42,34,60,78,77,69,107,103,yes_line_E,271253,0.0001,1000,8,1546.889277167
20,36,54,43,67,75,64,86,97,yes_line_E,271254,0.0001,1000,8,1195.575064708
21,36,50,39,68,65,88,77,93,yes_line_E,271255,0.0001,1000,8,1347.334992125
22,36,39,104,61,89,107,82,78,yes_line_E,271256,0.0001,1000,8,1368.78457775
23,38,50,46,84,60,64,96,89,yes_line_E,271257,0.0001,1000,8,1338.468159791
24,40,35,81,66,62,103,76,101,yes_line_E,271258,0.0001,1000,8,1353.825045708
25,39,37,58,61,82,90,122,87,yes_line_E,271259,0.0001,1000,8,1531.857275083
26,36,34,65,70,58,90,74,95,yes_line_E,271260,0.0001,1000,8,1356.9721655
27,43,39,78,69,80,94,98,108,yes_line_E,271261,0.0001,1000,8,1410.242441875
28,38,33,79,62,93,58,92,85,yes_line_E,271262,0.0001,1000,8,1313.405257791
29,36,41,81,64,93,105,68,103,yes_line_E,271263,0.0001,1000,8,1555.358145209
30,34,43,40,65,68,95,76,84,yes_line_E,271264,0.0001,1000,8,1265.582884125
31,38,33,59,63,89,93,103,79,yes_line_E,271265,0.0001,1000,8,1487.099367708
32,41,47,53,66,68,85,103,89,yes_line_E,271266,0.0001,1000,8,1302.041849334
33,38,49,40,61,65,81,71,84,yes_line_E,271267,0.0001,1000,8,1295.892241958
34,38,71,51,83,64,103,75,88,yes_line_E,271268,0.0001,1000,8,1219.648661667
35,36,53,50,63,61,95,81,88,yes_line_E,271269,0.0001,1000,8,1301.464820209
36,46,49,58,90,73,99,82,95,yes_line_E,271270,0.0001,1000,8,1413.856360333
37,44,37,74,54,57,90,96,82,yes_line_E,271271,0.0001,1000,8,1289.009454208
38,37,33,73,67,77,81,102,87,yes_line_E,271272,0.0001,1000,8,1345.344288667
39,38,35,98,60,79,71,64,84,yes_line_E,271273,0.0001,1000,8,1469.763319
40,36,40,92,73,53,73,98,61,yes_line_E,271274,0.0001,1000,8,1256.314884166
41,39,44,51,76,76,68,84,92,yes_line_E,271275,0.0001,1000,8,1429.605178708
42,45,33,58,86,80,65,92,101,yes_line_E,271276,0.0001,1000,8,1562.601113
43,40,35,87,59,74,64,105,91,yes_line_E,271277,0.0001,1000,8,1570.871335583
44,34,45,38,69,97,73,83,93,yes_line_E,271278,0.0001,1000,8,1179.930139708
45,85,103,62,103,106,89,112,125,yes_line_E,271279,0.0001,1000,8,1577.514381125
46,34,49,40,70,95,85,100,73,yes_line_E,271280,0.0001,1000,8,1284.980162458
47,42,36,54,62,68,89,72,96,yes_line_E,271281,0.0001,1000,8,1415.028459209
48,40,33,85,71,77,101,119,97,yes_line_E,271282,0.0001,1000,8,1465.992186084
49,34,49,41,66,59,93,73,83,yes_line_E,271283,0.0001,1000,8,1250.495089833
50,36,46,42,56,78,70,91,87,yes_line_E,271284,0.0001,1000,8,1254.079419458
