run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds
1,30,59,44,77,84,101,56,34,yes_line_F,281235,0.0001,1000,8,1069.893840041
2,30,96,48,69,80,86,57,34,yes_line_F,281236,0.0001,1000,8,1161.471883875
3,26,46,61,79,83,104,56,34,yes_line_F,281237,0.0001,1000,8,1147.198610584
4,28,48,71,59,94,79,57,34,yes_line_F,281238,0.0001,1000,8,965.26222575
5,26,67,40,89,56,60,81,34,yes_line_F,281239,0.0001,1000,8,914.457144542
6,28,40,53,90,71,57,86,38,yes_line_F,281240,0.0001,1000,8,984.276428833
7,26,50,41,71,99,54,75,34,yes_line_F,281241,0.0001,1000,8,782.834426792
8,28,84,64,42,94,96,58,34,yes_line_F,281242,0.0001,1000,8,1039.044465542
9,28,42,57,78,79,93,53,34,yes_line_F,281243,0.0001,1000,8,860.498031041
10,26,46,64,80,58,83,96,34,yes_line_F,281244,0.0001,1000,8,913.032466
11,26,41,73,55,79,92,56,34,yes_line_F,281245,0.0001,1000,8,812.78115525
12,26,43,61,83,72,98,56,36,yes_line_F,281246,0.0001,1000,8,910.926464084
13,30,41,77,61,79,56,92,34,yes_line_F,281247,0.0001,1000,8,824.148012
14,30,65,90,81,46,111,56,34,yes_line_F,281248,0.0001,1000,8,941.178201375
15,28,39,55,58,76,81,91,34,yes_line_F,281249,0.0001,1000,8,1139.905289375
16,29,74,48,79,55,91,61,34,yes_line_F,281250,0.0001,1000,8,1422.3839705
17,28,75,44,60,84,104,55,34,yes_line_F,281251,0.0001,1000,8,1484.864352667
18,28,46,66,98,86,81,62,38,yes_line_F,281252,0.0001,1000,8,1405.704217292
19,27,45,106,65,82,81,53,36,yes_line_F,281253,0.0001,1000,8,1010.31343225
20,32,39,55,65,77,91,53,36,yes_line_F,281254,0.0001,1000,8,679.879182583
21,26,43,64,93,77,85,58,34,yes_line_F,281255,0.0001,1000,8,859.392466
22,26,63,44,84,99,79,59,34,yes_line_F,281256,0.0001,1000,8,958.161840041
23,32,60,46,95,76,88,54,34,yes_line_F,281257,0.0001,1000,8,866.965198584
24,32,42,60,75,85,59,98,34,yes_line_F,281258,0.0001,1000,8,825.260211916
25,30,39,56,73,85,74,56,34,yes_line_F,281259,0.0001,1000,8,669.257787667
26,28,44,53,72,71,91,48,40,yes_line_F,281260,0.0001,1000,8,694.254291375
27,30,46,79,61,86,106,63,34,yes_line_F,281261,0.0001,1000,8,913.885954792
28,26,40,58,73,55,93,77,34,yes_line_F,281262,0.0001,1000,8,786.205530667
29,28,41,74,98,55,51,74,34,yes_line_F,281263,0.0001,1000,8,617.487102667
30,26,45,61,74,86,98,59,36,yes_line_F,281264,0.0001,1000,8,761.21734975
31,28,63,40,95,73,83,57,34,yes_line_F,281265,0.0001,1000,8,713.519496583
32,26,85,44,99,65,85,60,36,yes_line_F,281266,0.0001,1000,8,793.277343208
33,30,62,39,117,58,81,82,36,yes_line_F,281267,0.0001,1000,8,737.468862875
34,28,43,65,75,97,85,57,34,yes_line_F,281268,0.0001,1000,8,796.499971208
35,30,40,57,77,89,56,79,38,yes_line_F,281269,0.0001,1000,8,623.465282209
36,28,41,77,60,81,97,54,36,yes_line_F,281270,0.0001,1000,8,702.410988333
37,33,48,65,78,90,86,61,34,yes_line_F,281271,0.0001,1000,8,689.215042042
38,28,41,62,80,93,73,58,34,yes_line_F,281272,0.0001,1000,8,621.859335208
39,28,42,71,55,93,76,69,34,yes_line_F,281273,0.0001,1000,8,549.977110208
40,28,58,41,83,79,96,60,38,yes_line_F,281274,0.0001,1000,8,543.98838625
41,28,42,61,71,78,88,57,36,yes_line_F,281275,0.0001,1000,8,421.547328417
42,26,59,41,77,57,98,77,34,yes_line_F,281276,0.0001,1000,8,481.508872
43,28,44,96,70,83,58,61,34,yes_line_F,281277,0.0001,1000,8,496.839362125
44,28,76,43,61,92,106,58,34,yes_line_F,281278,0.0001,1000,8,534.9304815
45,28,45,61,75,95,61,85,37,yes_line_F,281279,0.0001,1000,8,479.210674667
46,28,43,62,85,98,76,60,35,yes_line_F,281280,0.0001,1000,8,495.810771333
47,30,48,64,78,105,83,58,36,yes_line_F,281281,0.0001,1000,8,492.488065958
48,26,43,64,100,77,60,83,34,yes_line_F,281282,0.0001,1000,8,553.764845166
49,26,43,61,82,78,58,99,35,yes_line_F,281283,0.0001,1000,8,487.580317667
50,28,41,61,80,105,85,54,34,yes_line_F,281284,0.0001,1000,8,498.852789875
