map,source,first,first_sd,last,last_sd,gap,gap_sd,average,average_sd,total,total_sd,aggregate_welfare,aggregate_welfare_sd,gap_normalized,gap_normalized_sd,gini,gini_sd,n_runs
10esque,line,21.0,,77.0,,56.0,,49.0,,392.0,,0.0,,0.0,,0.2142857142857142,,
10esque,1cut,21.0,,77.0,,56.0,,49.0,,392.0,,0.0,,0.0,,0.2142857142857142,,
10esque,paper_data,29.8,4.8166378315169185,108.6,5.549774770204643,78.8,3.9623225512317903,67.05,6.0289665366462275,536.4,48.23173229316982,-1.8753246753246753,0.62638613367753,0.2961038961038961,0.05145873443158169,0.22228023917608358,0.01983994281123637,5.0
10esque,level-1,28.58,4.664630265112561,108.04,6.736922327664138,79.46,5.901262403857642,66.95,5.129073791551812,535.6,41.03259033241449,-1.8649350649350651,0.5328907835378505,0.30467532467532465,0.07663977147867068,0.225046844372868,0.017668514772111288,50.0
10esque,level-0,29.18,4.3268973660495496,105.66,5.783897421959963,76.48,5.548450785800391,64.7025,4.162506511608561,517.62,33.30005209286849,-1.6314285714285715,0.4324682089982921,0.265974025974026,0.0720578024129921,0.22311714763615367,0.015735498461805334,50.0
7esque,line,17.0,,45.0,,28.0,,31.0,,248.0,,0.0,,0.0,,0.1693548387096775,,
7esque,1cut,17.0,,45.0,,28.0,,31.0,,248.0,,0.0,,0.0,,0.1693548387096775,,
7esque,paper_data,17.0,0.0,65.8,5.449770637375485,48.8,5.449770637375485,39.9,1.8014750900303895,319.2,14.411800720243116,-1.5822222222222222,0.3202622382276248,0.4622222222222222,0.1211060141638997,0.22113879506106887,0.014399263191616458,5.0
7esque,level-1,17.32,0.9133924207511874,64.44,4.195040803965889,47.12,4.429216542874538,39.9875,1.5928431293425847,319.9,12.742745034740677,-1.597777777777778,0.2831721118831262,0.4248888888888888,0.09842703428610085,0.2180102085516861,0.014323206401533447,50.0
7esque,level-0,17.3,0.9741558354989899,62.7,3.581414610491907,45.4,3.827931716278361,39.05,1.0908945963786618,312.4,8.727156771029295,-1.4311111111111108,0.1939368171339843,0.38666666666666655,0.08506514925063025,0.21662729437608955,0.012174779913677767,50.0
9esque,line,14.0,,48.0,,34.0,,31.0,,248.0,,0.0,,0.0,,0.2237903225806452,,
9esque,1cut,14.0,,49.0,,35.0,,28.375,,227.0,,0.4375,,0.0208333333333333,,0.2362334801762113,,
9esque,paper_data,17.0,1.4142135623730951,65.2,6.099180272790763,48.2,7.155417527999327,40.95,3.1986325203123913,327.6,25.58906016249913,-1.6583333333333332,0.5331054200520653,0.2958333333333333,0.149071198499986,0.22109144437076989,0.033117375278383536,5.0
9esque,level-1,17.46,3.258959393200629,67.32,9.06088250871485,49.86,8.710795554005012,40.5575,3.62585405139821,324.46,29.00683241118568,-1.5929166666666665,0.6043090085663684,0.3304166666666667,0.1814749073751044,0.2228955051971488,0.02704625848880307,50.0
9esque,level-0,17.56,2.872529994870127,65.2,9.169603734789264,47.64,8.875005030179661,39.7375,4.052528972312052,317.9,32.420231778496415,-1.45625,0.6754214953853419,0.2841666666666666,0.18489593812874297,0.21720151368398433,0.023887314782480962,50.0
maybe_4,line,15.0,,43.0,,28.0,,29.0,,232.0,,0.0,,0.0,,0.1810344827586207,,
maybe_4,1cut,15.0,,39.0,,24.0,,25.75,,206.0,,0.6046511627906976,,-0.0930232558139534,,0.1808252427184467,,
maybe_4,paper_data,15.0,0.0,52.2,1.7888543819998317,37.2,1.7888543819998317,27.625,0.25,221.0,2.0,0.255813953488372,0.046511627906976744,0.21395348837209296,0.041601264697670524,0.24784224249008052,0.006155331979186451,5.0
maybe_4,level-1,15.0,0.0,53.58,5.606446726578179,38.58,5.606446726578179,27.985,1.513679123789424,223.88,12.109432990315392,0.1888372093023256,0.2816147207050091,0.246046511627907,0.13038248201344604,0.2520049704242745,0.023555623411817144,50.0
maybe_4,level-0,15.0,0.0,53.22,6.421551722957018,38.22,6.421551722957018,27.7525,1.7210599042094819,222.02,13.768479233675855,0.2320930232558139,0.32019719148083386,0.23767441860465113,0.1493384121617911,0.24947271300797955,0.0265948391423047,50.0
maybe_5,line,16.0,,58.0,,42.0,,37.0,,296.0,,0.0,,0.0,,0.2128378378378379,,
maybe_5,1cut,16.0,,52.0,,36.0,,32.625,,261.0,,0.603448275862069,,-0.1034482758620689,,0.2054597701149425,,
maybe_5,paper_data,15.6,1.3416407864998738,49.2,6.1400325732035,33.6,6.6558245169174945,30.7,1.5476797149281243,245.6,12.381437719424994,0.8689655172413794,0.21347306412801714,-0.14482758620689656,0.1147555951192671,0.17921988376814604,0.02632036689071629,5.0
