map,source,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
10esque,line,21.0,77.0,56.0,49.0,392.0,0.0,0.0,0.2142857142857142
10esque,1cut,21.0,77.0,56.0,49.0,392.0,0.0,0.0,0.2142857142857142
10esque,paper_data,29.8,108.6,78.8,67.05,536.4,-1.8753246753246753,0.2961038961038961,0.22228023917608358
10esque,level-1,28.58,108.04,79.46,66.95,535.6,-1.8649350649350651,0.30467532467532465,0.225046844372868
10esque,level-0,29.18,105.66,76.48,64.7025,517.62,-1.6314285714285715,0.265974025974026,0.22311714763615367
7esque,line,17.0,45.0,28.0,31.0,248.0,0.0,0.0,0.1693548387096775
7esque,1cut,17.0,45.0,28.0,31.0,248.0,0.0,0.0,0.1693548387096775
7esque,paper_data,17.0,65.8,48.8,39.9,319.2,-1.5822222222222222,0.4622222222222222,0.22113879506106887
7esque,level-1,17.32,64.44,47.12,39.9875,319.9,-1.597777777777778,0.4248888888888888,0.2180102085516861
7esque,level-0,17.3,62.7,45.4,39.05,312.4,-1.4311111111111108,0.38666666666666655,0.21662729437608955
9esque,line,14.0,48.0,34.0,31.0,248.0,0.0,0.0,0.2237903225806452
9esque,1cut,14.0,49.0,35.0,28.375,227.0,0.4375,0.0208333333333333,0.2362334801762113
9esque,paper_data,17.0,65.2,48.2,40.95,327.6,-1.6583333333333332,0.2958333333333333,0.22109144437076989
9esque,level-1,17.46,67.32,49.86,40.5575,324.46,-1.5929166666666665,0.3304166666666667,0.2228955051971488
9esque,level-0,17.56,65.2,47.64,39.7375,317.9,-1.45625,0.2841666666666666,0.21720151368398433
maybe_4,line,15.0,43.0,28.0,29.0,232.0,0.0,0.0,0.1810344827586207
maybe_4,1cut,15.0,39.0,24.0,25.75,206.0,0.6046511627906976,-0.0930232558139534,0.1808252427184467
maybe_4,paper_data,15.0,52.2,37.2,27.625,221.0,0.255813953488372,0.21395348837209296,0.24784224249008052
maybe_4,level-1,15.0,53.58,38.58,27.985,223.88,0.1888372093023256,0.246046511627907,0.2520049704242745
maybe_4,level-0,15.0,53.22,38.22,27.7525,222.02,0.2320930232558139,0.23767441860465113,0.24947271300797955
maybe_5,line,16.0,58.0,42.0,37.0,296.0,0.0,0.0,0.2128378378378379
maybe_5,1cut,16.0,52.0,36.0,32.625,261.0,0.603448275862069,-0.1034482758620689,0.2054597701149425
maybe_5,paper_data,15.6,49.2,33.6,30.7,245.6,0.8689655172413794,-0.14482758620689656,0.17921988376814604
maybe_5,level-1,15.32,49.62,34.3,32.05,256.4,0.6827586206896552,-0.13275862068965513,0.1772630790536957
maybe_5,level-0,15.24,47.02,31.78,30.7575,246.06,0.8610344827586208,-0.17620689655172414,0.17382902888962423
maybe_6,line,23.0,51.0,28.0,37.0,296.0,0.0,0.0,0.1418918918918918
maybe_6,1cut,23.0,47.0,24.0,34.5,276.0,0.392156862745098,-0.0784313725490196,0.125
maybe_6,paper_data,23.0,39.0,16.0,30.925,247.4,0.9529411764705882,-0.2352941176470588,0.08562782272809047
maybe_6,level-1,23.86,41.26,17.4,31.955,255.64,0.7913725490196077,-0.20784313725490194,0.09209691566285247
maybe_6,level-0,23.5,39.18,15.68,31.0775,248.62,0.9290196078431373,-0.24156862745098032,0.0848671982635657
new_maybe_1,line,15.0,43.0,28.0,29.0,232.0,0.0,0.0,0.1810344827586207
new_maybe_1,1cut,14.0,39.0,25.0,25.375,203.0,0.6744186046511628,-0.0697674418604651,0.1939655172413792
new_maybe_1,paper_data,14.0,60.4,46.4,35.175,281.4,-1.1488372093023256,0.427906976744186,0.24014418088113865
new_maybe_1,level-1,14.0,66.48,52.48,37.2075,297.66,-1.5269767441860467,0.5693023255813954,0.2512580274208419
new_maybe_1,level-0,14.18,65.4,51.22,36.9975,295.98,-1.4879069767441861,0.54,0.24669821652843765
new_maybe_2,line,16.0,44.0,28.0,30.0,240.0,0.0,0.0,0.175
new_maybe_2,1cut,16.0,40.0,24.0,28.125,225.0,0.3409090909090909,-0.0909090909090909,0.1516666666666666
new_maybe_2,paper_data,16.2,39.0,22.8,28.425,227.4,0.2863636363636363,-0.11818181818181817,0.14046369940761277
new_maybe_2,level-1,16.22,41.64,25.42,29.3825,235.06,0.11227272727272729,-0.058636363636363605,0.15142197373959143
new_maybe_2,level-0,16.16,40.42,24.26,28.4125,227.3,0.2886363636363636,-0.08499999999999996,0.14939306767557153
new_maybe_3,line,17.0,59.0,42.0,38.0,304.0,0.0,0.0,0.207236842105263
new_maybe_3,1cut,19.0,53.0,34.0,34.25,274.0,0.5084745762711864,-0.135593220338983,0.1852189781021898
new_maybe_3,1cut_bad,22.0,53.0,31.0,35.0,280.0,0.4067796610169492,-0.1864406779661017,0.1687499999999999
