context,line,line.last.agent,univ.agg.welfare,one.cut.agg.welfare,model.univ.time,model.univ.time.scaled,one.cut.time,ratio,one.cut.time.scaled,ordinal.harm,cardinal.harm,ordinal.naive,first.last.gap,max.worse,univ.first.last.gap,univ.cardinal,univ.ordinal.naive,univ.max.worse,new.first.last.one.cut,new.first.last.univ,univ.cardinal.scaled,cardinal.harm.scaled,moral,name,univ,outcome,CI.contains.zero,full.model.predictions,glm1.predictions,glm2.predictions,glm3.predictions,glm4.predictions,glm5.predictions,glm6.predictions,glm7.predictions,glm8.predictions,glm9.predictions
Maybe 1,29,43,0.255813954,0.604651163,27.625,-7.58537975,25.75,1.126213592,43.79,0,0,5,24,0,37.2,51.6,12,21.2,-0.093023256,0.213953488,1.2,0,34.15384615,32,35.74418605,19.31707317,0,24.49909246,22.48398183,20.58781982,21.88946692,22.57973623,25.67228703,20.92228743,22.39945329,23.60800552,18.24170546
Maybe 2,37,58,0.868965517,0.603448276,30.7,5.04885991,32.625,1.134099617,45.21,0,0,4,36,0,33.6,30.4,10.2,19.2,-0.103448276,-0.144827586,0.524137931,0,35.02564103,33,15.18604651,13.68292683,0,26.27243008,21.96503828,22.80572796,24.46193447,24.52792048,27.82296634,24.67354347,22.15339851,26.31913875,19.92562097
Maybe 3,37,51,0.952941177,0.392156863,30.925,4.33612481,34.5,1.072463768,34.08,0,0,3,24,0,16,4,4,3,-0.078431373,-0.235294118,0.078431373,0,32.51282051,31,22.44186047,17.26829268,0,19.43401575,12.12934419,24.95552883,20.55348916,22.7997701,19.09440523,18.71483417,14.23219853,19.6895943,15.5292979
Maybe 3 Bad,38,59,-0.033898305,0.406779661,38.25,-12.16231994,35,1.085714286,36.48,0,6,4,34,5,32.8,49.4,8.2,21.6,-0.13559322,-0.155932203,0.837288136,0.101694915,-4.846153846,18,-11.23255814,1.634146341,1,15.4463648,14.25052892,14.40414292,13.23040176,15.13649379,19.28047065,11.69172255,14.2823314,16.99961965,13.98635023
Maybe 3 Badder,38,59,-0.033898305,-0.881355932,38.25,-12.16231994,44.5,0.853932584,-5.36,5,71,4,34,15,32.8,49.4,8.2,21.6,-0.13559322,-0.155932203,0.837288136,1.203389831,-19.74358974,12,-13.55813953,-12.73170732,0,-23.74483967,-36.41109188,-21.92309522,-14.34300318,-24.67659449,-22.23251972,-26.20085926,-29.89553804,-23.8823967,-38.56614679
Maybe 4 Bad,42,56,-4.855494505,-0.214285714,74.9,-47.3341802,43.5,0.965517241,14.78,0,30,3,12,12,82.4,266.8,7,69.2,-0.285714286,0.971428571,4.764285714,0.535714286,-22.02564103,9,-13.20930233,-11.24390244,0,-26.45503006,-7.946737457,-27.00714942,-34.53101085,-26.12384743,-11.326086,-23.07187306,-13.96466132,-25.97408024,-7.417454726
Maybe 5 Bad,68,106,-4.588679245,-0.179245283,128.8,-50,70.375,0.96625222,14.91,6,70,5,70,13,234,494.2,4.4,181.8,-0.047169811,1.5,4.662264151,0.660377358,-28.97435897,2,-31.06976744,-23.04878049,0,-29.03297605,-22.05602664,-31.23502658,-17.63827326,-29.77138098,-29.18520382,-26.15753564,-34.27624842,-29.59466407,-19.63582428
New Maybe 1,29,43,-1.148837209,0.674418605,35.175,-25.90011109,25.375,1.142857143,46.79,0,0,7,24,0,46.4,81.2,8.6,27,-0.093023256,0.427906977,1.888372093,0,13.12820513,24,0.302325581,10.3902439,0,21.63904357,26.09356472,13.83970533,16.46089329,17.75494559,23.60930162,16.80396777,25.10620509,23.57218692,26.65677248
New Maybe 2,30,44,0.286363636,0.340909091,28.425,-7.12734072,28.125,1.066666667,25.8803419,0,0,2,24,0,22.8,10.4,4,5.8,-0.090909091,-0.118181818,0.236363636,0,30.58974359,28,17.41860465,14.82926829,0,13.6924777,8.931284104,20.88216913,14.95419705,18.23280983,14.51021894,11.84180503,10.22138776,15.49778656,11.86889061
New Maybe 3,38,59,-0.033898305,0.508474576,38.25,-12.16231994,34.25,1.109489051,40.77,0,0,4,34,15,32.8,49.4,8.2,21.6,-0.13559322,-0.155932203,0.837288136,0,8.179487179,21,-3.790697674,2.317073171,1,16.3936712,15.64311351,16.22429716,15.30477324,16.91566462,20.52142068,12.7312161,15.59990517,17.85139186,15.20092887
New Maybe 4,42,56,-4.855494505,0.357142857,74.9,-47.3341802,39.5,1.063291139,32.43,0,5,3,12,12,82.4,266.8,7,69.2,-0.142857143,0.971428571,4.764285714,0.089285714,-0.58974359,19,-12.39534884,-3.780487805,1,-7.407564278,10.89213628,-9.044365196,-13.8167876,-6.949871225,-0.536224292,-3.608229211,5.823772007,-6.57092054,11.48565185
New Maybe 5,68,106,-4.588679245,0.424528302,128.8,-50,62.375,1.090180361,31.91665382,7,25,5,70,13,234,494.2,4.4,181.8,-0.047169811,1.5,4.662264151,0.235849057,-10.17948718,15,-32.04651163,-9.292682927,0,-21.77137583,-12.15483403,-26.95852129,-4.074570737,-22.66363838,-20.36450992,-19.42677549,-23.47446112,-21.54847026,-9.155778645
New Maybe 6,40,48,-4.204166667,0.375,65.225,-43.06575075,37.75,1.059602649,31.76,0,0,2,17,0,46.4,201.8,8.6,48.4,0.020833333,0.633333333,4.204166667,0,17.46153846,25,-12.23255814,14.3902439,0,4.155003324,15.59037766,7.109594943,-1.165483548,6.680752955,-0.160212128,8.266344318,15.47574195,4.263810838,12.98371382
New Yes 10,49,77,-1.875324675,0,67.05,-33.51223185,48,1.020833333,24.76,4,32,4,56,8,75.2,155.6,4,45,0,0.249350649,2.020779221,0.415584416,-21.79487179,10,-23.02325581,-4.219512195,0,-6.698353432,-9.656959427,-3.882018618,2.438832335,-5.016804235,-11.21412208,-8.602086635,-7.944734433,-5.259124101,-7.119363343
New Yes 7,31,45,-1.582222222,0,39.9,-29.76153977,31,1,21,2,8,2,28,4,48.8,71.6,2.8,26.6,0,0.462222222,1.591111111,0.177777778,-22.71052632,8,-19.60465116,2.292682927,1,-4.821279646,-8.332245418,8.425948125,2.314248609,3.155429634,-9.382435978,-5.300000564,-6.514337473,-4.018320753,-6.233421561
New Yes 9,31,48,-1.658333333,0.4375,40.95,-31.38079827,28.375,1.092511013,37.7,0,10,5,35,2,46.4,107.2,8.6,39.6,0.020833333,0.258333333,2.233333333,0.208333333,9.641025641,22,10.30232558,10.56097561,0,24.08085965,26.74971357,15.61129875,15.29355152,18.73104422,18.0155854,20.00383814,26.88818532,26.13883036,27.11656749
No 1,31,45,1.413333333,0.466666667,23.05,16.40313376,28.375,1.092511013,37.7,0,0,4,24,0,12.4,0.8,1.6,0.8,-0.088888889,-0.346666667,0.017777778,0,19.1025641,26,15,16.87804878,0,23.75487691,15.52615137,26.43729378,24.39764228,25.41302301,23.9322627,24.95768832,17.92941277,23.03426911,22.58779226
No 2,28,42,2.3,0.738095238,15.925,50,24.125,1.160621762,50,0,0,6,24,0,13.6,0.6,9.2,0.6,-0.095238095,-0.342857143,0.014285714,0,36.79487179,35,23.8372093,10.80487805,0,38.37911906,29.29099545,30.2537247,36.09170932,33.56992563,38.71694993,46.2839192,31.61801518,36.19835289,29.74370741
No 3,29,43,0.976744186,0.441860465,23.75,6.33643336,26.625,1.089201878,37.11,0,0,3,24,0,18.8,2,2,1.6,-0.093023256,-0.213953488,0.046511628,0,26.51282051,27,11.3255814,15.24390244,0,20.63466465,14.06162176,24.05125607,21.20138246,22.83444729,21.30412005,20.14084283,15.77421677,21.37500016,20.40839876
